timesteps,eval_seed,episode_reward,episode_length
10000,100,5.133333,283
10000,101,-67.193069,366
10000,102,46.92724,288
10000,103,-60.760432,364
10000,104,-7.294631,282
20000,100,-92.592593,1000
20000,101,-93.39934,1000
20000,102,-92.831541,1000
20000,103,-92.805755,1000
20000,104,-93.288591,1000
30000,100,7.533333,259
30000,101,-76.693069,461
30000,102,35.758781,328
30000,103,-69.660432,453
30000,104,-5.294631,262
40000,100,-66.666667,1000
40000,101,5.610561,1000
40000,102,-56.989247,1000
40000,103,0.719424,1000
40000,104,-66.442953,1000
50000,100,122.222222,1000
50000,101,-66.9967,1000
50000,102,11.111111,1000
50000,103,220.143885,1000
50000,104,54.362416,1000
60000,100,14.814815,1000
60000,101,-24.092409,1000
60000,102,-17.562724,1000
60000,103,-17.266187,1000
60000,104,-63.087248,1000
70000,100,-11.111111,1000
70000,101,-37.293729,1000
70000,102,-52.494265,422
70000,103,-35.251799,1000
70000,104,-26.174497,1000
80000,100,1.833333,316
80000,101,-66.9967,1000
80000,102,41.943011,302
80000,103,-64.028777,1000
80000,104,-8.994631,299
90000,100,7.407407,1000
90000,101,-50.49505,1000
90000,102,43.369176,1000
90000,103,-42.446043,1000
90000,104,24.161074,1000
100000,100,-18.518519,1000
100000,101,-73.59736,1000
100000,102,-24.731183,1000
100000,103,-71.223022,1000
100000,104,-32.885906,1000
