time/fps,time/iterations,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,train/approx_kl,train/entropy_loss,train/explained_variance,train/loss,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/value_loss,train/clip_fraction,train/clip_range
32,1,-56.492152000000004,2048,63,1000.0,,,,,,,,,,
27,2,-49.373527,4096,146,1000.0,0.01327103,-1.5968217588961124,-0.00013875961303710938,0.16055536270141602,-0.015229377025389113,10,0.0003,0.5625161008909345,0.18828125,0.2
21,3,-40.45460533333334,6144,292,1000.0,0.014141821,-1.5612871747463941,0.24079346656799316,0.0952499657869339,-0.02029565204575192,20,0.0003,0.41804281952790917,0.18447265625,0.2
18,4,-35.19073825,8192,452,1000.0,0.017276198,-1.5299779307097197,0.10325682163238525,0.16803646087646484,-0.025769661643425933,30,0.0003,0.6008952878881246,0.198388671875,0.2
14,5,-32.4021174,10240,727,1000.0,0.027230788,-1.4974440671503544,0.06801879405975342,0.10149657726287842,-0.02666167737916112,40,0.0003,0.590640635881573,0.161083984375,0.2
15,6,-31.533014500000004,12288,810,1000.0,0.015536839,-1.4962559193372726,0.3934890031814575,0.08444201201200485,-0.014082349557429551,50,0.0003,0.402258286124561,0.190869140625,0.2
16,7,-31.315343785714287,14336,895,1000.0,0.017674508,-1.510497521609068,0.7702673226594925,-0.008490927517414093,-0.01596479147701757,60,0.0003,0.32402759841643275,0.17939453125,0.2
16,8,-30.439898874999997,16384,990,1000.0,0.024820982,-1.5174743838608264,0.883567787706852,0.046902842819690704,-0.018389728538750205,70,0.0003,0.2482801799371373,0.2392578125,0.2
16,9,-29.802323444444443,18432,1090,1000.0,0.016577847,-1.5131178013980389,0.944019541144371,0.0042586661875247955,-0.015715811589325314,80,0.0003,0.2261916025192477,0.151025390625,0.2
15,10,-26.984280899999998,20480,1341,1000.0,0.030346917,-1.503592212125659,0.9444477893412113,0.044701363891363144,-0.013575754818157293,90,0.0003,0.39302683002897537,0.2517578125,0.2
15,11,-25.791144318181818,22528,1429,1000.0,0.012500908,-1.5014598183333874,0.9820803888142109,-0.028128061443567276,-0.01671516140049789,100,0.0003,0.21407193582854234,0.13232421875,0.2
15,12,-22.49569275,24576,1581,1000.0,0.015956003,-1.489548322185874,0.9763129707425833,0.06865814328193665,-0.01680287336348556,110,0.0003,0.34596058694878595,0.19892578125,0.2
15,13,-11.610119615384615,26624,1724,1000.0,0.01555633,-1.4619113780558108,0.9636137410998344,0.11497990787029266,-0.006831011109170504,120,0.0003,0.5343517403816804,0.1798828125,0.2
15,14,-5.483094214285715,28672,1874,1000.0,0.016941508,-1.3545131992548705,0.9297425672411919,0.43781885504722595,-0.006989910127595067,130,0.0003,1.4449065727647394,0.167822265625,0.2
14,15,22.875206600000002,30720,2109,1000.0,0.028368056,-1.2314202915877104,0.9510931149125099,0.3121599555015564,-0.009138950216583907,140,0.0003,1.7574893251061439,0.18486328125,0.2
14,16,39.2711335625,32768,2217,1000.0,0.016588872,-1.1959690649062396,0.9238023608922958,0.6730491518974304,-0.002637500954733696,150,0.0003,6.433521106652916,0.173193359375,0.2
15,17,69.98321435294118,34816,2306,1000.0,0.045581184,-0.9581902643665672,0.9319100007414818,1.747106671333313,0.004347132227121619,160,0.0003,9.770620930939913,0.19501953125,0.2
15,18,92.213715,36864,2392,1000.0,0.017383482,-0.9382425669580698,0.9093238115310669,2.3837435245513916,-0.006075383444112958,170,0.0003,13.007730641216039,0.19990234375,0.2
15,19,102.00694658974359,38912,2483,989.4102564102565,0.01928636,-1.0713328007608651,0.963798027485609,0.46738195419311523,-0.004237161140190437,180,0.0003,5.105189842171967,0.1625,0.2
15,20,112.40976535714283,40960,2683,968.0,0.043928094,-0.9033930802717804,0.9162996858358383,0.7721298336982727,-0.003487388062058017,190,0.0003,14.710858337208629,0.285986328125,0.2
15,21,139.47596074999998,43008,2775,969.4545454545455,0.112867594,-0.8744901284575463,0.896404318511486,7.965088844299316,-0.018015405393089167,200,0.0003,22.417420703172684,0.238037109375,0.2
15,22,151.82921597826086,45056,2878,970.7826086956521,0.021539768,-0.6622673058882356,0.7877197414636612,5.3873772621154785,0.011691945423081052,210,0.0003,24.483668100833892,0.19072265625,0.2
15,23,166.74806627083333,47104,2999,972.0,0.030427048,-0.8672332543879747,0.9043582379817963,3.725613594055176,0.0022355194319970905,220,0.0003,22.879917038232087,0.250732421875,0.2
15,24,175.89785288,49152,3140,973.12,0.03832513,-0.961408656090498,0.9587420262396336,1.3251612186431885,0.005456026784668211,230,0.0003,8.729068271443248,0.245751953125,0.2
14,25,188.05063694230768,51200,3428,974.1538461538462,0.036100674,-0.7031300341710448,0.9787205345928669,1.279826045036316,-0.0013956779963336884,240,0.0003,6.022823899611831,0.2302734375,0.2
15,26,201.32573429629628,53248,3513,975.1111111111111,0.023149963,-0.7783955136314035,0.9572975337505341,0.8920740485191345,-0.011934929904236924,250,0.0003,7.416266477294267,0.218212890625,0.2
15,27,214.2943754642857,55296,3600,976.0,0.058238152,-0.8259466484189033,0.9452023468911648,3.3038086891174316,-3.624481469159946e-05,260,0.0003,21.390972243249415,0.25576171875,0.2
15,28,220.88496412068963,57344,3690,976.8275862068965,0.080019996,-0.8256149273365736,0.9535803720355034,1.4555983543395996,0.009830414143652887,270,0.0003,8.929741971567273,0.238720703125,0.2
15,29,225.74125746666667,59392,3785,977.6,0.03200516,-0.9447956487536431,0.9745055269449949,0.9290605783462524,-0.006866215661284513,280,0.0003,5.6654071906581525,0.191943359375,0.2
15,30,232.99266727419356,61440,4090,978.3225806451613,0.03743574,-0.9349110629409552,0.9581031799316406,0.46017932891845703,-0.00553359304467449,290,0.0003,5.600650102272629,0.252783203125,0.2
14,31,238.98073053125,63488,4237,979.0,0.06229134,-0.7932367147877812,0.9599208310246468,0.7431516647338867,-0.0044372668853611685,300,0.0003,6.222100938670337,0.204345703125,0.2
14,32,249.39643803030302,65536,4409,979.6363636363636,0.03739643,-0.6904214369133115,0.9732832480221987,1.4261900186538696,0.0014582075309590437,310,0.0003,6.648584705591202,0.158642578125,0.2
14,33,250.11815564705884,67584,4519,980.2352941176471,0.11573157,-0.6419236598536372,0.9374504089355469,1.0649863481521606,-0.01700516145938309,320,0.0003,9.632281786762178,0.221826171875,0.2
15,34,249.8600004,69632,4606,980.8,0.0563186,-1.0170540105551482,0.9640605449676514,1.0149613618850708,0.007351373233905179,330,0.0003,10.575615127943456,0.2669921875,0.2
14,35,256.52652238356166,71680,4843,981.5890410958904,0.030784808,-1.1789498941972851,0.975300420075655,0.42356908321380615,-0.006108879475868889,340,0.0003,2.309197607077658,0.22236328125,0.2
14,36,266.19043478666663,73728,4944,982.08,0.045954764,-0.7843327779322863,0.9550254717469215,1.927646279335022,-0.002643789042485878,350,0.0003,9.321083721891046,0.17109375,0.2
15,37,275.7552974545454,75776,5045,982.5454545454545,0.054586172,-0.5551870376802981,0.8816146031022072,5.034752368927002,-0.004850036819698289,360,0.0003,19.5625865586102,0.17421875,0.2
15,38,274.7297071772151,77824,5135,982.9873417721519,0.025112353,-0.6006233477964997,0.9300931766629219,1.6671723127365112,0.0023207276717585046,370,0.0003,12.470447336509825,0.1234375,0.2
15,39,280.56894575308644,79872,5230,983.4074074074074,0.07233435,-0.9823628235608339,0.9771208260208368,0.3410140872001648,-0.016871566558984342,380,0.0003,3.2996560212224724,0.196923828125,0.2
14,40,279.04686507228917,81920,5484,983.8072289156627,0.030299824,-0.6461952194571495,0.9176075905561447,2.081721544265747,0.003244081893353723,390,0.0003,8.713976809382439,0.195947265625,0.2
15,41,283.7137019058823,83968,5572,984.1882352941177,0.019888347,-1.0443676995113491,0.9641471356153488,0.3606867790222168,-0.006707315628591459,400,0.0003,3.5925178647041323,0.19140625,0.2
15,42,290.3234662068965,86016,5662,984.551724137931,0.03117722,-0.6895120605826378,0.9518130496144295,1.0892683267593384,-0.0028478026360971853,410,0.0003,10.665021461620928,0.191796875,0.2
15,43,294.3445347865168,88064,5749,984.8988764044943,0.035834175,-0.6424477593041956,0.9646983593702316,1.2780654430389404,0.0011076594579208176,420,0.0003,9.728806561231613,0.164111328125,0.2
