time/iterations,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/learning_rate,train/approx_kl,train/loss,train/clip_range,train/value_loss,train/explained_variance,train/policy_gradient_loss,train/entropy_loss,train/n_updates,train/clip_fraction
29,970.6065573770492,2616,59392,161.10691978688527,22,0.0003,0.037575558,1.230729341506958,0.2,9.137354788929224,0.941574938595295,-0.009014981614018324,-1.0640155144035817,280,0.25146484375
30,971.5396825396825,2699,61440,182.28748022222223,22,0.0003,0.09837389,1.4443491697311401,0.2,11.558441412448882,0.9015859365463257,0.0023874123413406777,-0.9949736261740327,290,0.250048828125
31,972.4153846153846,2783,63488,199.03154506153848,22,0.0003,0.036089793,8.447007179260254,0.2,23.89740888774395,0.7683315128087997,-0.006666340716765262,-0.8751355230808258,300,0.2421875
32,973.2388059701492,2865,65536,209.99013826865672,22,0.0003,0.02738808,1.6898306608200073,0.2,14.215089229494334,0.9201179966330528,-0.005600397514353972,-0.9530844755470753,310,0.2380859375
33,974.0144927536232,2948,67584,213.1457443188406,22,0.0003,0.038717717,2.325052261352539,0.2,16.092141826450824,0.8233127593994141,-0.0078228398662759,-0.9513729963451624,320,0.304248046875
34,974.7464788732394,3031,69632,213.76035312676058,22,0.0003,0.07317436,0.36435648798942566,0.2,5.0878317134454845,0.955842848867178,0.010685137788095744,-1.1627702433615923,330,0.37001953125
35,975.4383561643835,3114,71680,212.76048628767126,23,0.0003,0.054820918,0.9114125370979309,0.2,5.323263907898218,0.9439105652272701,-0.001398691994836554,-1.1520904168486594,340,0.326123046875
36,976.0933333333334,3196,73728,216.89464026666667,23,0.0003,0.038672745,0.657285749912262,0.2,5.748612409830093,0.96036122366786,-0.010686462563171517,-1.2203324247151612,350,0.2201171875
37,976.7142857142857,3403,75776,210.32868370129873,22,0.0003,0.018119106,0.8958972692489624,0.2,3.8517604850232603,0.9528785459697247,-0.0010158006669371388,-1.0974207252264023,360,0.263037109375
38,977.3037974683544,3487,77824,208.77839459493674,22,0.0003,0.05670979,1.0473209619522095,0.2,2.4873848751187326,0.8132091909646988,-0.0032296145378495566,-1.0737965429201721,370,0.262255859375
39,977.8641975308642,3573,79872,210.89755874074075,22,0.0003,0.018789064,0.6999406814575195,0.2,4.343229823186993,0.8755292519927025,-0.0023469696985557674,-1.0199794288724662,380,0.1978515625
40,978.3975903614457,3657,81920,216.69909809638557,22,0.0003,0.027954534,0.7255220413208008,0.2,4.576458141580224,0.8745208829641342,-0.008872093608079012,-0.9475251145660877,390,0.203564453125
41,978.9058823529411,3743,83968,213.9571981529412,22,0.0003,0.022100247,0.6584513783454895,0.2,3.3710426926612853,0.9319300875067711,-0.0010534219458349981,-1.0741014745086432,400,0.20341796875
42,979.3908045977012,3826,86016,214.5476312758621,22,0.0003,0.023998968,0.43246230483055115,0.2,4.2040093299001455,0.9670128300786018,-0.006629923945001792,-1.0322098135948181,410,0.218798828125
43,979.8539325842696,3911,88064,210.70461737078654,22,0.0003,0.023797791,0.256992906332016,0.2,1.237101064901799,0.9704339038580656,-0.009418173209996893,-1.224277250468731,420,0.19248046875
44,980.2967032967033,3996,90112,212.54198593406596,22,0.0003,0.019308742,0.20922116935253143,0.2,1.3157284113112837,0.9707800727337599,-0.00470579910906963,-1.18086888641119,430,0.18662109375
45,980.7204301075269,4080,92160,207.50928370967748,22,0.0003,0.022820577,0.456042617559433,0.2,2.706582229025662,0.9400681555271149,-0.004291456718055997,-1.1076860209926962,440,0.2435546875
46,981.3229166666666,4165,94208,206.90612406250003,22,0.0003,0.020700578,0.2368961125612259,0.2,0.7374558807350695,0.9556773155927658,-0.017926273513876368,-1.3204715885221958,450,0.2373046875
47,981.704081632653,4249,96256,205.2422733061225,22,0.0003,0.023805954,0.4042734205722809,0.2,3.0889745115302505,0.928608700633049,-0.016426115424837916,-1.0040911899879574,460,0.20703125
48,982.07,4333,98304,211.90264544000004,22,0.0003,0.02620219,0.8418468236923218,0.2,1.7420985132455826,0.9535074681043625,-0.014446284972655122,-1.2029028587043284,470,0.22958984375
49,982.07,4544,100352,220.09319758,22,0.0003,0.020692773,0.9424957036972046,0.2,5.671899547800422,0.9185318499803543,-0.01515430394501891,-0.740190214663744,480,0.1873046875
50,982.07,4633,102400,228.39886631999997,22,0.0003,0.03227619,1.0095245838165283,0.2,6.673076887242496,0.9467465579509735,-0.013356526984716765,-1.0623397508636117,490,0.2365234375
51,982.07,4717,104448,240.14121243999998,22,0.0003,0.031505063,1.371392846107483,0.2,6.015300937183201,0.9390986487269402,-0.011731100151519059,-0.9183003457263113,500,0.2544921875
52,982.07,4801,106496,252.81856636999998,22,0.0003,0.041102104,1.3296705484390259,0.2,6.723251212015748,0.9490159787237644,-0.008989855510299094,-0.8785594508051873,510,0.2400390625
53,982.07,4881,108544,257.77861838999996,22,0.0003,0.036126435,0.9690573811531067,0.2,11.5786670897156,0.8911372870206833,-0.0036178631358779966,-0.8664041955024004,520,0.307470703125
54,982.07,4965,110592,267.42155439,22,0.0003,0.021957643,0.7057542204856873,0.2,2.68517883149907,0.9797454550862312,-0.0038178955655894242,-1.062030155956745,530,0.24990234375
55,982.07,5046,112640,267.752182,22,0.0003,0.03916393,0.5702422857284546,0.2,6.909230437316,0.9544763080775738,-0.010015689437568653,-0.9755856428295374,540,0.286328125
56,982.07,5129,114688,275.11800948,22,0.0003,0.026377052,0.22554223239421844,0.2,1.5264014388434588,0.9860308049246669,0.0010772663837997243,-1.1626953028142453,550,0.24736328125
57,982.99,5211,116736,283.47816204000003,22,0.0003,0.03191237,0.7345893383026123,0.2,5.0711594267748294,0.9441868886351585,-0.008763377639115787,-0.8572239059954881,560,0.231005859375
58,992.87,5294,118784,294.38484108000006,22,0.0003,0.028709505,0.6490153670310974,0.2,6.536595421470702,0.9587545990943909,-0.015085032358183526,-0.9603524258360266,570,0.2142578125
59,998.64,5377,120832,302.31982991000007,22,0.0003,0.02772116,0.9558712244033813,0.2,9.887505868077278,0.8524322211742401,-0.009291816462791758,-0.7187416672706604,580,0.267626953125
60,998.64,5463,122880,308.86182345000003,22,0.0003,0.027574781,1.303812861442566,0.2,3.6564747115597127,0.9758980292826891,-0.006416978185006883,-0.8735661355778574,590,0.21318359375
61,998.64,5546,124928,311.99840115,22,0.0003,0.026156394,0.6777222752571106,0.2,3.752100883051753,0.9601325951516628,-0.016173636610619723,-0.7322087522596121,600,0.214794921875
62,998.64,5737,126976,314.46549,22,0.0003,0.064835675,0.16159704327583313,0.2,2.4159052550792692,0.9696114044636488,-0.012120910233352333,-1.0061621522530912,610,0.27255859375
63,998.64,5818,129024,320.73145343,22,0.0003,0.041635044,1.306796908378601,0.2,8.983720975369215,0.9525230042636395,-0.0046946199538069775,-0.7439351392909884,620,0.223828125
64,998.64,5901,131072,329.51367645,22,0.0003,0.027901351,0.6486294865608215,0.2,6.236390360072255,0.9590291194617748,-0.007979781815083697,-0.9340635692700744,630,0.25087890625
65,998.64,5982,133120,333.18206283,22,0.0003,0.028696375,2.074662208557129,0.2,8.965483754873276,0.9607245735824108,-0.009142464888282121,-0.6342859494499862,640,0.19189453125
66,998.64,6064,135168,328.71918962999996,22,0.0003,0.042741112,0.591780424118042,0.2,2.600132173858583,0.9816452730447054,-0.002562301508442033,-1.089238383062184,650,0.2673828125
67,992.5,6147,137216,327.87481395000003,22,0.0003,0.038124114,0.44208237528800964,0.2,3.771473188046366,0.9816363230347633,-0.0001865454891230911,-1.0033551096916198,660,0.248779296875
68,990.56,6229,139264,331.50196899,22,0.0003,0.0788367,1.7501494884490967,0.2,9.863073932006955,0.9496352858841419,-0.008676469555939547,-0.7543504551053047,670,0.2451171875
69,989.44,6311,141312,333.9166754099999,22,0.0003,0.050487973,1.7231109142303467,0.2,8.300840730220079,0.9688773043453693,-0.004052541853161529,-0.911467830836773,680,0.289990234375
70,985.1,6393,143360,338.62768144,22,0.0003,0.061857924,1.0943721532821655,0.2,20.569606671854853,0.9130806848406792,-0.015468647505622357,-0.5559621125459671,690,0.227099609375
71,979.67,6475,145408,342.06679189999994,22,0.0003,0.03153652,1.8513134717941284,0.2,24.45969750508666,0.9320852011442184,0.019647625682409853,-0.5546585910022259,700,0.2359375
72,977.36,6556,147456,350.39968046,22,0.0003,0.08988801,1.5827653408050537,0.2,15.522959716245532,0.9487214349210262,-0.003986715010250918,-0.7502566374838352,710,0.322412109375
73,971.2,6640,149504,351.80543268,22,0.0003,0.065193295,2.2639129161834717,0.2,13.854105129465461,0.9482188373804092,-0.0006060300678655039,-0.7290425132960081,720,0.291748046875
74,971.2,6847,151552,356.1980304800001,22,0.0003,0.10834096,3.1274678707122803,0.2,34.03949603401124,0.8484383672475815,-0.003861585863342043,-0.5595319606363773,730,0.258740234375
75,971.2,6928,153600,355.47543339000003,22,0.0003,0.043279942,3.2457692623138428,0.2,11.890603639930486,0.9515716768801212,0.00347555001208093,-0.6925418387167156,740,0.250244140625
76,971.2,7011,155648,357.96172481,22,0.0003,0.032860562,1.147489070892334,0.2,5.825400224514306,0.9678610526025295,-0.006999748425005237,-0.7667128693312406,750,0.260693359375
77,971.2,7093,157696,355.83023653000004,22,0.0003,0.04865749,1.0682752132415771,0.2,9.748731136508287,0.9625168964266777,-0.0014049452147446573,-0.7736435379832983,760,0.276025390625
78,971.2,7177,159744,355.3735558599999,22,0.0003,0.055181444,1.5843665599822998,0.2,12.06870596371591,0.947068564593792,0.0069449634465854615,-0.616139496024698,770,0.20966796875
79,971.2,7261,161792,360.06667217,22,0.0003,0.02767646,2.2373783588409424,0.2,15.38913386389613,0.891566127538681,0.00045538100675912574,-0.472183820605278,780,0.1875
80,971.2,7345,163840,362.27662644000003,22,0.0003,0.09319772,0.8959096074104309,0.2,6.430157312378287,0.9598843976855278,-0.008434783364646137,-0.6991397228091956,790,0.2890625
81,971.2,7428,165888,361.00508965000006,22,0.0003,0.10077222,1.9922711849212646,0.2,8.828567235544323,0.8808906003832817,0.026473126866767414,-0.6295038717798889,800,0.31318359375
