algorithm,training_seed,timesteps,n_validation_tracks,mean_validation_reward,std_validation_reward_across_tracks,median_validation_reward,min_validation_reward,max_validation_reward,mean_validation_episode_length
ppo,13,200000,5,423.7999538,374.22859806178866,341.640379,5.555556,877.358491,1000.0
ppo,13,225000,5,742.8531218,155.54834539454555,818.215613,450.943396,889.130435,1000.0
ppo,13,250000,5,679.595713,318.39719901933523,829.36803,44.444444,871.014493,1000.0
ppo,13,275000,5,685.920568,344.6838482338627,873.584906,2.777778,908.6,982.8
ppo,13,300000,5,461.47794379999993,399.65640474474816,414.195584,2.777778,919.5,924.0
ppo,13,325000,5,744.9320258,171.86769352242018,843.396226,458.333333,914.5,971.0
ppo,13,350000,5,455.7286242,255.17839498218532,448.895899,71.003717,867.391304,1000.0
ppo,13,375000,5,719.4869075999999,182.4877636262285,859.107807,474.132492,877.358491,1000.0
ppo,13,400000,5,477.9100944,247.29763337927017,435.849057,123.048327,794.927536,1000.0
ppo,13,425000,5,677.7454654000001,268.6147204315561,838.405797,186.111111,896.226415,1000.0
ppo,13,450000,5,443.50185840000006,273.52088228775233,420.754717,33.333333,889.130435,1000.0
ppo,13,475000,5,507.3614824,117.89432635968836,457.971014,377.777778,663.40694,1000.0
ppo,13,500000,5,468.82733079999997,267.6688275904002,461.111111,39.50855,842.028986,907.8
ppo,13,525000,5,590.1184863999999,164.10554007402226,647.211896,375.471698,770.662461,1000.0
ppo,13,550000,5,327.248552,298.36371573230736,341.509434,16.666667,856.521739,1000.0
ppo,13,575000,5,517.5309169999999,177.58377278975348,443.396226,290.334572,769.565217,1000.0
ppo,13,600000,5,780.8232538,61.89758755482142,805.660377,679.179811,852.898551,1000.0
ppo,13,625000,5,626.2667464,135.63389036500465,561.710037,486.111111,860.144928,1000.0
ppo,13,650000,5,682.0901656,130.47101746883692,663.40694,541.509434,845.652174,1000.0
ppo,13,675000,5,440.0474424,342.0267913888392,398.422713,38.888889,856.521739,1000.0
ppo,13,700000,5,750.4846028,177.9729213085628,854.716981,447.222222,922.0,956.0
ppo,13,725000,5,451.57236439999997,339.3875475395753,455.205047,47.222222,856.521739,1000.0
ppo,13,750000,5,388.118845,258.48544055973457,360.377358,97.026022,860.144928,1000.0
ppo,13,775000,5,648.758044,143.32098340002085,617.472119,430.555556,858.490566,1000.0
ppo,13,800000,5,557.2436272000001,281.01749947050325,594.006309,77.777778,860.144928,1000.0
ppo,13,825000,5,676.90496,137.11079634736694,669.516729,469.444444,871.014493,1000.0
ppo,13,850000,5,779.464398,99.94154237602008,777.777778,622.397476,888.847584,1000.0
ppo,13,875000,5,524.0931786,296.48019528651594,565.615142,35.126022,843.396226,924.0
ppo,13,900000,5,694.843863,273.6758310113354,842.028986,183.333333,926.4,947.2
ppo,13,925000,5,705.8681874,155.99410618873438,752.777778,432.075472,863.768116,1000.0
ppo,13,950000,5,534.1006164,309.04515524000544,565.427509,-1.966667,850.943396,870.8
ppo,13,975000,5,781.6149658,100.28226773901265,843.396226,600.0,860.144928,1000.0
ppo,13,1000000,5,812.5292406,49.2237483437665,783.280757,758.736059,889.130435,1000.0
