time/episodes,time/time_elapsed,rollout/ep_len_mean,time/fps,train/loss,time/total_timesteps,train/n_updates,rollout/ep_rew_mean,rollout/exploration_rate,train/learning_rate
224,6594,1000.0,33,0.07380534708499908,224000,55874,-36.28470417,0.5744,0.0001
228,6728,1000.0,33,0.00017859024228528142,228000,56874,-35.100239359999996,0.5668000000000001,0.0001
232,6839,1000.0,33,0.000187941113836132,232000,57874,-34.64443219,0.5592,0.0001
236,6950,1000.0,33,0.00042180964373983443,236000,58874,-34.2109538,0.5516000000000001,0.0001
240,7061,1000.0,33,0.0006236204644665122,240000,59874,-33.08006301999999,0.544,0.0001
244,7172,1000.0,34,0.0008345674723386765,244000,60874,-31.656890320000002,0.5364,0.0001
248,7285,1000.0,34,0.16946998238563538,248000,61874,-30.64581957,0.5288,0.0001
252,7421,1000.0,33,0.0002030299074249342,252000,62874,-30.52040441,0.5212,0.0001
256,7534,1000.0,33,0.0009323432459495962,256000,63874,-28.976012080000004,0.5136000000000001,0.0001
260,7645,1000.0,34,0.0005224831984378397,260000,64874,-27.742539730000008,0.506,0.0001
264,7757,1000.0,34,0.10181917250156403,264000,65874,-26.283095660000004,0.49839999999999995,0.0001
268,7870,1000.0,34,0.00031650776509195566,268000,66874,-25.763917330000005,0.4908,0.0001
272,7983,1000.0,34,0.002076924778521061,272000,67874,-24.97740435,0.48319999999999996,0.0001
276,8125,1000.0,33,0.0009197850013151765,276000,68874,-24.97650948,0.4756,0.0001
280,8239,1000.0,33,0.08606668561697006,280000,69874,-24.609999459999997,0.46799999999999997,0.0001
284,8355,1000.0,33,0.0010634659556671977,284000,70874,-24.00432316,0.4603999999999999,0.0001
288,8470,1000.0,33,0.0012489137006923556,288000,71874,-23.074150220000007,0.4528,0.0001
292,8585,1000.0,34,0.0006117415614426136,292000,72874,-22.590837660000002,0.44519999999999993,0.0001
296,8699,1000.0,34,0.0003915043780580163,296000,73874,-22.361535489999998,0.4376,0.0001
300,8873,1000.0,33,0.0017991001950576901,300000,74874,-21.709246779999997,0.42999999999999994,0.0001
304,8987,1000.0,33,0.10204146057367325,304000,75874,-20.799297409999998,0.4223999999999999,0.0001
308,9103,1000.0,33,0.002807583659887314,308000,76874,-20.83246126,0.41479999999999995,0.0001
312,9219,1000.0,33,0.0006983878556638956,312000,77874,-21.2068379,0.4071999999999999,0.0001
316,9333,1000.0,33,0.0951647236943245,316000,78874,-21.81581771,0.39959999999999996,0.0001
320,9447,1000.0,33,0.0010597729124128819,320000,79874,-23.13604019,0.3919999999999999,0.0001
324,9562,1000.0,33,0.0003330615581944585,324000,80874,-23.742327689999996,0.38439999999999985,0.0001
328,9711,1000.0,33,0.0009495973936282098,328000,81874,-24.651000699999994,0.3767999999999999,0.0001
332,9829,1000.0,33,0.09438496083021164,332000,82874,-24.899010819999994,0.36919999999999986,0.0001
336,9946,1000.0,33,0.0020308056846261024,336000,83874,-26.527665769999995,0.3615999999999999,0.0001
340,10062,1000.0,33,0.08889609575271606,340000,84874,-26.679339710000004,0.35399999999999987,0.0001
344,10178,1000.0,33,0.09230158478021622,344000,85874,-26.840337610000002,0.34640000000000004,0.0001
348,10295,1000.0,33,0.002513982355594635,348000,86874,-25.45642598,0.3388000000000001,0.0001
352,10484,1000.0,33,0.08916109055280685,352000,87874,-23.930733319999998,0.33120000000000005,0.0001
356,10600,1000.0,33,0.09626536816358566,356000,88874,-24.13957497,0.3236000000000001,0.0001
360,10716,1000.0,33,0.003814202733337879,360000,89874,-23.5920459,0.31600000000000006,0.0001
364,10832,1000.0,33,0.29212725162506104,364000,90874,-20.355930519999994,0.3084,0.0001
368,10948,1000.0,33,0.19382530450820923,368000,91874,-19.714326999999997,0.30080000000000007,0.0001
372,11065,1000.0,33,0.0023170311469584703,372000,92874,-19.359169129999998,0.2932,0.0001
376,11259,1000.0,33,0.08310016244649887,376000,93874,-17.289878899999998,0.2856000000000001,0.0001
380,11376,1000.0,33,0.09011606127023697,380000,94874,-16.28348839,0.278,0.0001
384,11492,1000.0,33,0.022098710760474205,384000,95874,-17.074064730000003,0.2704,0.0001
388,11607,1000.0,33,0.004281470086425543,388000,96874,-17.8175633,0.26280000000000003,0.0001
