timesteps,eval_seed,episode_reward,episode_length
10000,100,33.333333,1000
10000,101,-67.293069,367
10000,102,46.72724,290
10000,103,-57.463309,367
10000,104,20.805369,1000
20000,100,33.333333,1000
20000,101,55.115512,1000
20000,102,75.62724,1000
20000,103,108.633094,1000
20000,104,20.805369,1000
30000,100,37.037037,1000
30000,101,-67.193069,366
30000,102,39.784946,1000
30000,103,-6.47482,1000
30000,104,-2.684564,1000
40000,100,11.111111,1000
40000,101,-27.392739,1000
40000,102,54.121864,1000
40000,103,-20.863309,1000
40000,104,-16.107383,1000
50000,100,33.333333,1000
50000,101,-20.792079,1000
50000,102,39.784946,1000
50000,103,248.920863,1000
50000,104,158.389262,1000
60000,100,-48.148148,1000
60000,101,-60.39604,1000
60000,102,-67.741935,1000
60000,103,-56.834532,1000
60000,104,-53.020134,1000
70000,100,-14.814815,1000
70000,101,-30.693069,1000
70000,102,-49.820789,1000
70000,103,-24.460432,1000
70000,104,-56.375839,1000
80000,100,-81.481481,1000
80000,101,-80.19802,1000
80000,102,-85.663082,1000
80000,103,-82.014388,1000
80000,104,14.09396,1000
90000,100,14.814815,1000
90000,101,8.910891,1000
90000,102,29.032258,1000
90000,103,-28.057554,1000
90000,104,-6.040268,1000
100000,100,-18.77037,485
100000,101,-47.690099,468
100000,102,23.295699,596
100000,103,-48.277698,455
100000,104,-33.383221,610
