timesteps,eval_seed,episode_reward,episode_length
10000,100,-44.444444,1000
10000,101,-80.19802,1000
10000,102,-39.0681,1000
10000,103,-74.820144,1000
10000,104,-6.040268,1000
20000,100,-92.592593,1000
20000,101,-93.39934,1000
20000,102,-92.831541,1000
20000,103,-92.805755,1000
20000,104,-93.288591,1000
30000,100,-92.592593,1000
30000,101,-93.39934,1000
30000,102,-92.831541,1000
30000,103,-92.805755,1000
30000,104,-93.288591,1000
40000,100,6.333333,271
40000,101,-30.693069,1000
40000,102,46.52724,292
40000,103,-24.460432,1000
40000,104,-5.994631,269
50000,100,2.633333,308
50000,101,-63.593069,330
50000,102,38.82724,369
50000,103,-53.360432,290
50000,104,-8.594631,295
60000,100,-48.148148,1000
60000,101,-53.79538,1000
60000,102,-60.573477,1000
60000,103,-64.028777,1000
60000,104,-59.731544,1000
70000,100,-92.592593,1000
70000,101,-93.39934,1000
70000,102,-92.831541,1000
70000,103,-92.805755,1000
70000,104,-93.288591,1000
80000,100,33.333333,1000
80000,101,-20.792079,1000
80000,102,75.62724,1000
80000,103,205.755396,1000
80000,104,20.805369,1000
90000,100,44.444444,1000
90000,101,167.326733,1000
90000,102,79.21147,1000
90000,103,245.323741,1000
90000,104,10.738255,1000
100000,100,29.62963,1000
100000,101,233.333333,1000
100000,102,54.121864,1000
100000,103,54.676259,1000
100000,104,84.563758,1000
