timesteps,eval_seed,episode_reward,episode_length
10000,100,48.148148,1000
10000,101,-66.9967,1000
10000,102,111.469534,1000
10000,103,-82.014388,1000
10000,104,57.718121,1000
20000,100,-33.333333,1000
20000,101,-10.891089,1000
20000,102,61.290323,1000
20000,103,0.719424,1000
20000,104,-49.66443,1000
30000,100,-40.740741,1000
30000,101,-27.392739,1000
30000,102,-35.483871,1000
30000,103,-20.863309,1000
30000,104,-46.308725,1000
40000,100,-59.259259,1000
40000,101,-24.092409,1000
40000,102,-60.573477,1000
40000,103,-67.625899,1000
40000,104,-66.442953,1000
50000,100,-77.777778,1000
50000,101,-83.49835,1000
50000,102,-3.225806,1000
50000,103,-82.014388,1000
50000,104,4.026846,1000
60000,100,11.111111,1000
60000,101,-43.894389,1000
60000,102,72.043011,1000
60000,103,-42.446043,1000
60000,104,0.671141,1000
70000,100,1.433333,320
70000,101,-66.494059,260
70000,102,46.72724,290
70000,103,-60.354676,288
70000,104,-9.494631,304
80000,100,-137.462963,746
80000,101,-70.29703,1000
80000,102,-67.741935,1000
80000,103,-110.425899,429
80000,104,-115.042953,487
90000,100,25.925926,1000
90000,101,-47.194719,1000
90000,102,36.200717,1000
90000,103,-35.251799,1000
90000,104,7.38255,1000
100000,100,7.533333,259
100000,101,-53.79538,1000
100000,102,43.643011,285
100000,103,-49.640288,1000
100000,104,-5.694631,266
