time/iterations,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/entropy_loss,train/explained_variance,train/n_updates,train/clip_fraction,train/clip_range,train/approx_kl,train/value_loss,train/loss,train/policy_gradient_loss,train/learning_rate
21,33,43008,1291,990.4883720930233,-28.50040530232559,-1.3701468609273433,0.9614763334393501,200,0.26630859375,0.2,0.033161223,0.7093452595639974,0.0628923773765564,-0.009605306152661797,0.0003
22,33,45056,1343,990.9111111111112,-27.78884037777778,-1.3852115202695132,0.9953926238231361,210,0.158154296875,0.2,0.011240547,0.28660296082962305,0.0509524904191494,-0.018764335440209834,0.0003
23,33,47104,1395,991.2978723404256,-27.994564234042556,-1.273544891178608,0.993376612663269,220,0.168798828125,0.2,0.014310369,0.3828962852945551,0.25984737277030945,-0.009672509320080281,0.0003
24,33,49152,1447,991.6530612244898,-25.612648897959186,-1.4428892441093921,0.9931339118629694,230,0.09736328125,0.2,0.0173995,0.22736131842830218,0.019348815083503723,-0.014668375186738558,0.0003
25,32,51200,1580,991.9803921568628,-23.55885633333334,-1.3585897728800773,0.9604700654745102,240,0.120556640625,0.2,0.02098579,0.7280861536506563,0.41335421800613403,0.005400360988278408,0.0003
26,32,53248,1632,992.2830188679245,-23.79044550943397,-1.4091496504843235,0.9955211468040943,250,0.161767578125,0.2,0.01647854,0.17916758602077607,0.0052572451531887054,-0.01588136370992288,0.0003
27,32,55296,1683,992.5636363636364,-22.282374818181825,-1.4032981656491756,0.990962496958673,260,0.148974609375,0.2,0.012120617,0.19811144121340477,0.02692171186208725,-0.005521428831707453,0.0003
28,33,57344,1736,992.8245614035088,-22.290421473684212,-1.3695743918418883,0.9709793888032436,270,0.191796875,0.2,0.018716339,0.5533937385072931,0.12738695740699768,-0.004948778066318482,0.0003
29,33,59392,1788,993.0677966101695,-22.163116966101693,-1.4097571574151515,0.9936487879604101,280,0.16103515625,0.2,0.012918773,0.20509267144370824,-0.006037088111042976,-0.015967631252715365,0.0003
30,32,61440,1916,993.2950819672132,-18.483118262295083,-1.301560416072607,0.972248213365674,290,0.23564453125,0.2,0.02904143,0.8064988269470632,0.2875556945800781,-0.014907560661958997,0.0003
31,32,63488,1968,993.5079365079365,-18.40632023809524,-1.248716738075018,0.9851223798468709,300,0.2248046875,0.2,0.01815781,0.4101802360266447,0.06769849359989166,-0.01976923983093002,0.0003
32,32,65536,2019,993.7076923076924,-18.417777507692307,-1.327876716479659,0.9850313235074282,310,0.231298828125,0.2,0.023354072,0.34838061132468284,0.13455504179000854,-0.01744669957261067,0.0003
33,32,67584,2070,993.8955223880597,-18.436995597014924,-1.2595769215375185,0.9934343062341213,320,0.1845703125,0.2,0.010576205,0.35423562447540463,0.014702387154102325,-0.01112997108430136,0.0003
34,32,69632,2122,994.1571428571428,-11.016054342857142,-1.233624641224742,0.956427950412035,330,0.177490234375,0.2,0.057596277,1.1861206013942138,0.11279001832008362,-0.014764835161622613,0.0003
35,31,71680,2251,994.3194444444445,-10.708585513888888,-1.2827404607087374,0.949862252920866,340,0.199609375,0.2,0.021507101,2.370300554530695,0.267910897731781,-0.0052630853009759445,0.0003
36,32,73728,2302,994.472972972973,-11.209503824324324,-1.357256368920207,0.9878513105213642,350,0.175244140625,0.2,0.01522919,0.6942055192776024,0.09004980325698853,-0.004092609668441582,0.0003
37,32,75776,2354,994.6184210526316,-11.647473434210527,-1.3773810863494873,0.9787320252507925,360,0.1921875,0.2,0.016496843,0.41952925727237017,0.08402086794376373,-0.019812426700082143,0.0003
38,32,77824,2411,994.7564102564103,-11.106786012820512,-1.4225428961217403,0.9786443151533604,370,0.15,0.2,0.014797041,0.46142697490286083,0.23899643123149872,-0.015664810129237594,0.0003
39,32,79872,2464,994.8875,-10.5249705875,-1.3613925322890281,0.9877655385062099,380,0.173974609375,0.2,0.013886421,0.45610974067822097,0.13753509521484375,-0.015850930310989497,0.0003
40,31,81920,2598,995.0121951219512,-6.789788073170732,-1.3039873450994492,0.9491869248449802,390,0.195751953125,0.2,0.02196636,1.2354442049283534,0.25246772170066833,-0.015211138988524909,0.0003
41,31,83968,2652,995.1309523809524,-6.9018041904761915,-1.369673440605402,0.9539382606744766,400,0.234423828125,0.2,0.02260889,1.3233305708970875,0.3056177496910095,-0.00840010734682437,0.0003
42,31,86016,2705,995.2441860465116,-4.605645918604652,-1.4254457231611013,0.9855317249894142,410,0.174658203125,0.2,0.011635553,0.4923545552883297,0.14121758937835693,-0.012929231859743595,0.0003
43,31,88064,2757,995.3522727272727,-4.994531181818182,-1.4083708580583334,0.9654034189879894,420,0.190673828125,0.2,0.019383352,1.0101625920739026,0.13802821934223175,-0.007729239965556189,0.0003
44,31,90112,2890,995.4555555555555,-2.9246617444444447,-1.4589785531163215,0.9805251341313124,430,0.22431640625,0.2,0.02022675,0.34300116982776674,0.03574826940894127,-0.023096077141235582,0.0003
45,31,92160,2945,995.554347826087,-2.041227989130435,-1.3721152152866125,0.9713356457650661,440,0.20869140625,0.2,0.026240906,0.9418981007765979,0.27069225907325745,-0.01139821094693616,0.0003
46,31,94208,2997,995.6489361702128,-1.744015776595745,-1.4076187320053577,0.967180147767067,450,0.22919921875,0.2,0.019425374,0.9122833572328091,0.3220576345920563,-0.01668069068546174,0.0003
47,31,96256,3053,995.7395833333334,-1.9102284062500008,-1.429867010563612,0.980430206283927,460,0.22724609375,0.2,0.018577449,0.3667063828324899,0.0730651319026947,-0.02341828433709452,0.0003
48,31,98304,3105,995.8265306122449,-2.8032830816326535,-1.4952547632157802,0.9844909245148301,470,0.252734375,0.2,0.022684503,0.26589061197591946,0.013063944876194,-0.027656238942290655,0.0003
49,30,100352,3238,995.91,-3.686467,-1.4130349975079297,0.9589825607836246,480,0.18134765625,0.2,0.017715817,0.660198268876411,0.3559114336967468,-0.007275460464006756,0.0003
