algorithm,training_seed,mean_reward,median_reward,std_reward_across_tracks,mean_track_completion,std_track_completion_across_tracks,n_test_tracks,completed_episodes,completion_rate
dqn,10,465.42747178497973,497.51603953528263,219.9659212313996,0.5654274717849869,0.2199659212314026,30,0,0.0
dqn,11,426.25144332858264,461.4167565623824,173.4339874566313,0.5262514433285896,0.1734339874566355,30,0,0.0
dqn,12,616.1756503817056,602.0143800554779,178.58010858568593,0.7161756503817164,0.17858010858568776,30,0,0.0
dqn,13,412.29080596351065,439.8454746136812,115.88764329797128,0.5122908059635164,0.1158876432979729,30,0,0.0
ppo,10,683.2443584130255,719.5164960181892,141.77618091924822,0.7832443584130373,0.14177618091924954,30,0,0.0
ppo,11,772.6221239531284,859.9944600611291,183.656285243489,0.8764487906198103,0.16682058000508518,30,3,0.1
ppo,12,731.5928916240156,773.1994415889178,169.52327802489023,0.8308562249573634,0.16873562134944098,30,2,0.06666666666666667
ppo,13,815.9478304944568,833.4113499768708,76.9404932562276,0.9140111638278052,0.07430147191723468,30,2,0.06666666666666667
