algorithm,n_training_seeds,n_test_episodes,mean_reward,median_run_mean_reward,std_reward_between_training_seeds,min_run_mean_reward,max_run_mean_reward,mean_track_completion,std_track_completion_between_training_seeds,pooled_episode_reward_median,pooled_episode_reward_std,pooled_track_completion_median,pooled_track_completion_std,completed_episodes,completion_rate
ppo,4,120,750.8518011211565,752.107507788572,56.724809095991766,683.2443584130255,815.9478304944568,0.851140134454504,0.05661144701711069,804.7411003236108,154.91250432510034,0.9047411003236245,0.14962629428092464,7,0.058333333333333334
dqn,4,120,480.0363428646947,445.8394575567812,93.50508605342341,412.29080596351065,616.1756503817056,0.5800363428647023,0.09350508605342554,484.9512487170661,191.7775674933185,0.5849512487170715,0.19177756749332167,0,0.0
