training_seed,ppo_mean_reward,dqn_mean_reward,reward_difference_ppo_minus_dqn,reward_winner,ppo_mean_track_completion,dqn_mean_track_completion,track_completion_difference_ppo_minus_dqn,track_completion_winner
10,683.2443584130255,465.42747178497973,217.81688662804572,ppo,0.7832443584130373,0.5654274717849869,0.21781688662805043,ppo
11,772.6221239531284,426.25144332858264,346.37068062454574,ppo,0.8764487906198103,0.5262514433285896,0.35019734729122065,ppo
12,731.5928916240156,616.1756503817056,115.41724124230996,ppo,0.8308562249573634,0.7161756503817164,0.11468057457564707,ppo
13,815.9478304944568,412.29080596351065,403.6570245309461,ppo,0.9140111638278052,0.5122908059635164,0.40172035786428884,ppo
