rollout/ep_rew_mean,time/fps,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_len_mean,train/clip_fraction,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/approx_kl,train/value_loss,train/loss,train/clip_range,train/n_updates
-54.573703,59,2048,1,34,1000.0,,,,,,,,,,
-52.841459,46,4096,2,88,1000.0,0.0634765625,-0.001965045928955078,-1.6025253515690565,-0.005297697261266876,0.0003,0.0072778934,0.8943390691652894,0.357539564371109,0.2,10
-44.802695166666666,43,6144,3,142,1000.0,0.154052734375,0.06827908754348755,-1.5835883408784865,-0.010308039079245646,0.0003,0.014653413,0.5721362147014588,0.29198789596557617,0.2,20
-41.001184625,42,8192,4,192,1000.0,0.224755859375,0.18554025888442993,-1.5556408088654279,-0.01917830768506974,0.0003,0.01449132,0.7068215033505112,0.15967115759849548,0.2,30
-36.973660699999996,42,10240,5,242,1000.0,0.153759765625,-0.10636007785797119,-1.531270495057106,-0.018790215550689028,0.0003,0.011615831,0.46311989685054866,0.09112609177827835,0.2,40
-32.36364266666667,42,12288,6,292,1000.0,0.186376953125,0.40261685848236084,-1.4671613093465568,-0.018888161108770875,0.0003,0.015811175,0.4614581812173128,0.13032805919647217,0.2,50
-32.648315357142856,41,14336,7,342,1000.0,0.140625,0.615676999092102,-1.4519221797585486,-0.0152390921022743,0.0003,0.0139894495,0.5569738720078021,0.23830044269561768,0.2,60
-30.595552874999996,41,16384,8,391,1000.0,0.275390625,0.7673197835683823,-1.4802984856069088,-0.030959400918800385,0.0003,0.028035302,0.37686852759215983,0.0872308611869812,0.2,70
-27.597912444444447,41,18432,9,442,1000.0,0.24521484375,0.8687168657779694,-1.4847396079450845,-0.017075256003590767,0.0003,0.0361918,0.2720889718737453,0.025476813316345215,0.2,80
-21.7343252,41,20480,10,492,1000.0,0.210546875,0.9033573716878891,-1.4162286642938853,-0.014328215111163445,0.0003,0.029477784,0.4548439013073221,0.18435443937778473,0.2,90
-18.821981545454545,41,22528,11,543,1000.0,0.196630859375,0.9337226897478104,-1.4168857499957084,-0.012092867962201126,0.0003,0.022302192,0.9613611641339957,0.2831522226333618,0.2,100
-19.151681375,41,24576,12,593,1000.0,0.1728515625,0.9598653540015221,-1.3947288356721401,-0.011675351238227449,0.0003,0.017735455,0.5218333417084068,0.08267360180616379,0.2,110
-3.331612346153846,39,26624,13,677,1000.0,0.187939453125,0.9194780811667442,-1.3738642621785402,-0.00446922572737094,0.0003,0.022427317,3.267721694195643,0.8771371245384216,0.2,120
4.6061575,39,28672,14,727,1000.0,0.160986328125,0.9490403793752193,-1.2746418461203575,-0.004831747748539783,0.0003,0.013360966,1.8112732677720487,0.5020119547843933,0.2,130
36.148789699999995,39,30720,15,778,1000.0,0.209716796875,0.9635670892894268,-1.270092025399208,-0.00685901764954906,0.0003,0.040092044,1.7886487250216305,0.3064965009689331,0.2,140
56.5325778125,39,32768,16,829,1000.0,0.198681640625,0.8583169281482697,-0.893998977355659,0.002929798258992378,0.0003,0.025599502,32.03347347229719,6.094242572784424,0.2,150
65.5614444117647,39,34816,17,879,1000.0,0.209033203125,0.9530779533088207,-1.0404513342306019,0.0022079767571995036,0.0003,0.020143129,6.68191629871726,0.9031932353973389,0.2,160
83.3273416111111,39,36864,18,929,1000.0,0.1490234375,0.9599104821681976,-1.0132128782570362,0.00021755611960543318,0.0003,0.02111517,10.796897748485208,1.3453192710876465,0.2,170
85.68944789473683,39,38912,19,979,1000.0,0.134521484375,0.9602934680879116,-1.1187353936955333,-0.0013833919540047646,0.0003,0.015573321,5.155828533321619,0.2771933972835541,0.2,180
96.551585975,39,40960,20,1029,1000.0,0.1501953125,0.9782089255750179,-1.2217791110277176,-0.012209577407338657,0.0003,0.022284245,2.0435936293564736,0.49457478523254395,0.2,190
108.5744598372093,39,43008,21,1079,991.7441860465116,0.155126953125,0.9603397138416767,-1.0504943480715156,-0.0026449302618857472,0.0003,0.020945398,7.921918797306716,0.5771352052688599,0.2,200
121.30718639999999,39,45056,22,1129,992.1111111111111,0.22265625,0.8999383822083473,-0.8673928266391158,-0.010740597834956133,0.0003,0.051840246,15.384854116290807,1.3801244497299194,0.2,210
137.10472582978724,39,47104,23,1180,992.4468085106383,0.144873046875,0.9813662618398666,-0.9461790947243571,0.0025344548368593676,0.0003,0.009987684,4.701194078661501,0.6324875950813293,0.2,220
144.84113685714286,39,49152,24,1231,992.7551020408164,0.213818359375,0.9610933475196362,-0.9912299191579222,0.002865596197079867,0.0003,0.02506976,8.025316185131668,0.8722622990608215,0.2,230
148.269917745098,38,51200,25,1329,993.0392156862745,0.22568359375,0.9795186072587967,-0.9952878374606371,-0.0076833353392430585,0.0003,0.021481015,3.7793598864227533,1.0311208963394165,0.2,240
154.67808975471695,38,53248,26,1378,993.3018867924528,0.169970703125,0.9748829435557127,-0.9830867730081081,-0.0030349442313308828,0.0003,0.021666164,6.57632192671299,2.5300004482269287,0.2,250
171.4007035454545,38,55296,27,1428,989.5636363636364,0.20947265625,0.9792431425303221,-0.9729639479890466,0.0023386816392303444,0.0003,0.028913977,5.343803046643734,0.5419849157333374,0.2,260
185.25758810526315,38,57344,28,1478,989.9298245614035,0.244775390625,0.9601414613425732,-0.9232885530218482,-0.01345873015743564,0.0003,0.045547288,10.494527305290102,1.4337791204452515,0.2,270
