timesteps,eval_seed,episode_reward,episode_length
10000,100,-81.481481,1000
10000,101,-83.49835,1000
10000,102,-78.494624,1000
10000,103,-82.014388,1000
10000,104,-83.221477,1000
20000,100,8.133333,253
20000,101,-67.093069,365
20000,102,48.02724,277
20000,103,-60.860432,365
20000,104,-4.394631,253
30000,100,-70.37037,1000
30000,101,-93.39934,1000
30000,102,-92.831541,1000
30000,103,-92.805755,1000
30000,104,-73.154362,1000
40000,100,233.333333,1000
40000,101,200.330033,1000
40000,102,82.795699,1000
40000,103,216.546763,1000
40000,104,175.167785,1000
50000,100,-3.977778,263
50000,101,-70.692739,434
50000,102,14.969176,285
50000,103,-66.360432,420
50000,104,-12.10604,263
60000,100,7.033333,264
60000,101,-27.392739,1000
60000,102,75.62724,1000
60000,103,-20.863309,1000
60000,104,-5.694631,266
70000,100,7.733333,257
70000,101,-30.693069,1000
70000,102,47.52724,282
70000,103,-20.863309,1000
70000,104,-7.994631,289
80000,100,33.333333,1000
80000,101,-27.392739,1000
80000,102,75.62724,1000
80000,103,-20.863309,1000
80000,104,20.805369,1000
90000,100,33.333333,1000
90000,101,-27.392739,1000
90000,102,75.62724,1000
90000,103,-20.863309,1000
90000,104,20.805369,1000
100000,100,314.814815,1000
100000,101,352.145215,1000
100000,102,294.265233,1000
100000,103,202.158273,1000
100000,104,215.436242,1000
