timesteps,eval_seed,episode_reward,episode_length
10000,100,81.481481,1000
10000,101,42.423762,953
10000,102,100.716846,1000
10000,103,134.755396,711
10000,104,101.342282,1000
20000,100,-92.592593,1000
20000,101,-93.39934,1000
20000,102,-92.831541,1000
20000,103,-92.805755,1000
20000,104,-93.288591,1000
30000,100,-55.555556,1000
30000,101,-43.894389,1000
30000,102,-82.078853,1000
30000,103,-38.848921,1000
30000,104,-46.308725,1000
40000,100,33.333333,1000
40000,101,-30.693069,1000
40000,102,75.62724,1000
40000,103,-24.460432,1000
40000,104,20.805369,1000
50000,100,5.22963,245
50000,101,-66.993069,364
50000,102,37.774552,272
50000,103,-60.860432,365
50000,104,-57.863087,385
60000,100,-37.266667,707
60000,101,91.026073,698
60000,102,25.82724,499
60000,103,268.528777,956
60000,104,-39.71745,472
70000,100,-5.477778,278
70000,101,-85.193399,513
70000,102,-6.810036,1000
70000,103,-85.157554,572
70000,104,-12.10604,263
80000,100,-29.62963,1000
80000,101,-4.290429,1000
80000,102,-24.731183,1000
80000,103,-2.877698,1000
80000,104,-36.241611,1000
90000,100,7.407407,1000
90000,101,-30.693069,1000
90000,102,-21.146953,1000
90000,103,-20.863309,1000
90000,104,24.161074,1000
100000,100,-62.825926,370
100000,101,-30.693069,1000
100000,102,-35.483871,1000
100000,103,-24.460432,1000
100000,104,-35.895973,266
