timesteps,eval_seed,episode_reward,episode_length
25000,200,-90.536278,1000
25000,201,-92.565056,1000
25000,202,-85.507246,1000
25000,203,-88.888889,1000
25000,204,-88.679245,1000
50000,200,-93.690852,1000
50000,201,-81.412639,1000
50000,202,-92.753623,1000
50000,203,-86.111111,1000
50000,204,-92.45283,1000
75000,200,-93.690852,1000
75000,201,-92.565056,1000
75000,202,-92.753623,1000
75000,203,-94.444444,1000
75000,204,-92.45283,1000
100000,200,-87.381703,1000
100000,201,-77.695167,1000
100000,202,-85.507246,1000
100000,203,-83.333333,1000
100000,204,-84.90566,1000
125000,200,-93.690852,1000
125000,201,-92.565056,1000
125000,202,-92.753623,1000
125000,203,-94.444444,1000
125000,204,-92.45283,1000
150000,200,-81.072555,1000
150000,201,-85.130112,1000
150000,202,-85.507246,1000
150000,203,-88.888889,1000
150000,204,-84.90566,1000
175000,200,-90.536278,1000
175000,201,-85.130112,1000
175000,202,-92.753623,1000
175000,203,-88.888889,1000
175000,204,-88.679245,1000
200000,200,-93.690852,1000
200000,201,-92.565056,1000
200000,202,-92.753623,1000
200000,203,-94.444444,1000
200000,204,-92.45283,1000
225000,200,-69.853943,362
225000,201,61.291078,284
225000,202,-60.913043,371
225000,203,3.155556,275
225000,204,-56.954717,363
250000,200,-93.690852,1000
250000,201,-47.95539,1000
250000,202,-92.753623,1000
250000,203,-63.888889,1000
250000,204,-92.45283,1000
275000,200,-69.253943,356
275000,201,61.891078,278
275000,202,-59.413043,356
275000,203,3.855556,268
275000,204,-56.254717,356
300000,200,-93.690852,1000
300000,201,-73.977695,1000
300000,202,-92.753623,1000
300000,203,-88.888889,1000
300000,204,-92.45283,1000
325000,200,-93.690852,1000
325000,201,-51.672862,1000
325000,202,-92.753623,1000
325000,203,-36.111111,1000
325000,204,-92.45283,1000
350000,200,-33.753943,1000
350000,201,82.156134,1000
350000,202,-23.913043,1000
350000,203,30.555556,1000
350000,204,-20.754717,1000
375000,200,-62.14511,1000
375000,201,-70.260223,1000
375000,202,-63.768116,1000
375000,203,-80.555556,1000
375000,204,-54.716981,1000
400000,200,35.646688,1000
400000,201,126.765799,1000
400000,202,48.550725,1000
400000,203,-8.333333,1000
400000,204,47.169811,1000
425000,200,158.675079,1000
425000,201,152.788104,1000
425000,202,-92.753623,1000
425000,203,113.888889,1000
425000,204,118.867925,1000
450000,200,-68.454259,1000
450000,201,-66.542751,1000
450000,202,-89.130435,1000
450000,203,-75.0,1000
450000,204,-88.679245,1000
475000,200,-87.381703,1000
475000,201,30.111524,1000
475000,202,-92.753623,1000
475000,203,-88.888889,1000
475000,204,-39.622642,1000
500000,200,-3.698423,773
500000,201,561.710037,1000
500000,202,236.956522,1000
500000,203,13.888889,1000
500000,204,379.245283,1000
525000,200,161.829653,1000
525000,201,36.12119,387
525000,202,-92.753623,1000
525000,203,-21.933333,387
525000,204,-92.45283,1000
550000,200,306.940063,1000
550000,201,327.509294,1000
550000,202,-92.753623,1000
550000,203,211.111111,1000
550000,204,341.509434,1000
575000,200,205.993691,1000
575000,201,498.513011,1000
575000,202,588.405797,1000
575000,203,33.333333,1000
575000,204,360.377358,1000
600000,200,388.958991,1000
600000,201,528.252788,1000
600000,202,189.855072,1000
600000,203,216.666667,1000
600000,204,371.698113,1000
625000,200,-93.690852,1000
625000,201,520.817844,1000
625000,202,-42.028986,1000
625000,203,291.666667,1000
625000,204,-92.45283,1000
650000,200,-52.681388,1000
650000,201,539.405204,1000
650000,202,573.913043,1000
650000,203,283.333333,1000
650000,204,466.037736,1000
675000,200,-90.536278,1000
675000,201,-29.36803,1000
675000,202,-89.130435,1000
675000,203,-91.666667,1000
675000,204,-88.679245,1000
700000,200,385.804416,1000
700000,201,111.895911,1000
700000,202,581.15942,1000
700000,203,369.444444,1000
700000,204,545.283019,1000
725000,200,395.268139,1000
725000,201,855.390335,1000
725000,202,454.347826,1000
725000,203,450.0,1000
725000,204,575.471698,1000
750000,200,7.255521,1000
750000,201,505.947955,1000
750000,202,-85.507246,1000
750000,203,258.333333,1000
750000,204,1.886792,1000
775000,200,448.895899,1000
775000,201,755.018587,1000
775000,202,541.304348,1000
775000,203,475.0,1000
775000,204,696.226415,1000
800000,200,-90.536278,1000
800000,201,-3.345725,1000
800000,202,378.26087,1000
800000,203,497.222222,1000
800000,204,9.433962,1000
825000,200,-46.37224,1000
825000,201,30.111524,1000
825000,202,244.202899,1000
825000,203,-16.666667,1000
825000,204,-50.943396,1000
850000,200,414.195584,1000
850000,201,695.539033,1000
850000,202,660.869565,1000
850000,203,174.044444,955
850000,204,271.824528,962
875000,200,278.548896,1000
875000,201,587.732342,1000
875000,202,552.173913,1000
875000,203,422.222222,1000
875000,204,394.339623,1000
900000,200,123.974763,1000
900000,201,487.360595,1000
900000,202,421.73913,1000
900000,203,-86.111111,1000
900000,204,386.792453,1000
925000,200,23.028391,1000
925000,201,30.111524,1000
925000,202,668.115942,1000
925000,203,277.777778,1000
925000,204,390.566038,1000
950000,200,158.675079,1000
950000,201,4.089219,1000
950000,202,-38.405797,1000
950000,203,-55.555556,1000
950000,204,311.320755,1000
975000,200,-49.526814,1000
975000,201,688.104089,1000
975000,202,280.434783,1000
975000,203,-22.222222,1000
975000,204,250.943396,1000
1000000,200,155.520505,1000
1000000,201,41.263941,1000
1000000,202,-42.028986,1000
1000000,203,-38.888889,1000
1000000,204,84.90566,1000
