rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/iterations,time/time_elapsed,time/fps,train/explained_variance,train/value_loss,train/clip_range,train/n_updates,train/entropy_loss,train/clip_fraction,train/loss,train/policy_gradient_loss,train/approx_kl,train/learning_rate
-58.2710875,2048,1000.0,1,41,49,,,,,,,,,,
-47.002672,4096,1000.0,2,116,35,0.015344619750976562,0.6205711773131043,0.2,10,-1.6004407834261656,0.131689453125,0.20615768432617188,-0.010883683340216522,0.010353099,0.0003
-41.1438785,6144,1000.0,3,191,32,0.11446869373321533,0.5442873205058276,0.2,20,-1.5657008450478316,0.23515625,0.16065195202827454,-0.0217238418670604,0.015777864,0.0003
-38.966336875,8192,1000.0,4,332,24,-0.003169536590576172,0.6663330355193466,0.2,30,-1.5029652606695891,0.297900390625,0.17791393399238586,-0.02563978762482293,0.016215276,0.0003
-33.6365813,10240,1000.0,5,491,20,0.28113728761672974,0.41558061197865753,0.2,40,-1.4535927854478359,0.1599609375,0.10537856817245483,-0.016008538186724763,0.015350628,0.0003
-30.94368175,12288,1000.0,6,647,18,0.48486822843551636,0.5727792807621881,0.2,50,-1.4521778732538224,0.204736328125,0.22224178910255432,-0.01240387760917656,0.043021373,0.0003
-29.595352357142854,14336,1000.0,7,818,17,0.8419539481401443,0.288289350096602,0.2,60,-1.4690649796277284,0.2005859375,0.2758035957813263,-0.009570323587104213,0.04678803,0.0003
-28.8179735625,16384,1000.0,8,985,16,0.9274174124002457,0.3118426364962943,0.2,70,-1.4663363493978978,0.124755859375,0.0601343959569931,-0.013713221892248838,0.018313207,0.0003
-27.261891500000004,18432,991.2222222222222,9,1082,17,0.9553226418793201,0.21439859615056775,0.2,80,-1.4730886675417423,0.171484375,0.004908598959445953,-0.017807919377810323,0.016642623,0.0003
-23.587085750000004,20480,992.1,10,1158,17,0.6198765933513641,6.647530509158969,0.2,90,-1.3255395632237197,0.26923828125,0.6963436007499695,-0.004350811951735522,0.03617999,0.0003
-23.9594655,22528,992.8181818181819,11,1235,18,0.9743408188223839,0.4093595196201932,0.2,100,-1.4470497917383909,0.107861328125,0.0789196789264679,-0.008440015980158932,0.007343742,0.0003
-21.59275445833333,24576,993.4166666666666,12,1362,18,0.9760825075209141,0.4743350983597338,0.2,110,-1.4057880833745002,0.19248046875,0.28376466035842896,-0.006835743664123583,0.024432953,0.0003
-21.79380023076923,26624,993.9230769230769,13,1617,16,0.98273522593081,0.29765464926022106,0.2,120,-1.4439660280942916,0.165380859375,0.03295218572020531,-0.016771675839845557,0.027791526,0.0003
-22.303714499999995,28672,990.2857142857143,14,1787,16,0.9896207051351666,0.2964090804307489,0.2,130,-1.4288016177713871,0.12587890625,0.08005174994468689,-0.01748815621540416,0.02045357,0.0003
-21.061857266666664,30720,990.9333333333333,15,1885,16,0.9322484061121941,1.8547045679297298,0.2,140,-1.302203570306301,0.109228515625,0.14974290132522583,-0.013179023043994676,0.02004672,0.0003
