timesteps,eval_seed,episode_reward,episode_length
10000,100,-92.592593,1000
10000,101,-93.39934,1000
10000,102,-92.831541,1000
10000,103,-92.805755,1000
10000,104,-93.288591,1000
20000,100,-81.481481,1000
20000,101,-83.49835,1000
20000,102,-82.078853,1000
20000,103,-82.014388,1000
20000,104,-86.577181,1000
30000,100,-88.888889,1000
30000,101,-93.39934,1000
30000,102,-74.910394,1000
30000,103,-92.805755,1000
30000,104,-89.932886,1000
40000,100,48.148148,1000
40000,101,177.227723,1000
40000,102,111.469534,1000
40000,103,-10.071942,1000
40000,104,37.583893,1000
50000,100,29.62963,1000
50000,101,-10.891089,1000
50000,102,72.043011,1000
50000,103,4.316547,1000
50000,104,40.939597,1000
60000,100,7.733333,257
60000,101,-80.293399,464
60000,102,21.863799,1000
60000,103,-28.057554,1000
60000,104,-4.694631,256
70000,100,37.037037,1000
70000,101,-37.293729,1000
70000,102,75.62724,1000
70000,103,-31.654676,1000
70000,104,27.516779,1000
80000,100,-81.481481,1000
80000,101,-93.39934,1000
80000,102,-78.494624,1000
80000,103,-71.223022,1000
80000,104,-83.221477,1000
90000,100,3.703704,1000
90000,101,-27.392739,1000
90000,102,-10.394265,1000
90000,103,-74.820144,1000
90000,104,-32.885906,1000
100000,100,-18.518519,1000
100000,101,-80.19802,1000
100000,102,-132.805018,795
100000,103,-78.417266,1000
100000,104,-22.818792,1000
