timesteps,eval_seed,episode_reward,episode_length
25000,200,-55.835962,1000
25000,201,-92.565056,1000
25000,202,-49.275362,1000
25000,203,-94.444444,1000
25000,204,-47.169811,1000
50000,200,-93.690852,1000
50000,201,-92.565056,1000
50000,202,-92.753623,1000
50000,203,-55.555556,1000
50000,204,-92.45283,1000
75000,200,-84.227129,1000
75000,201,-77.695167,1000
75000,202,-81.884058,1000
75000,203,-83.333333,1000
75000,204,-81.132075,1000
100000,200,-93.690852,1000
100000,201,-92.565056,1000
100000,202,-92.753623,1000
100000,203,-94.444444,1000
100000,204,-92.45283,1000
125000,200,-93.690852,1000
125000,201,-92.565056,1000
125000,202,-92.753623,1000
125000,203,-94.444444,1000
125000,204,-92.45283,1000
150000,200,-71.608833,1000
150000,201,-92.565056,1000
150000,202,-63.768116,1000
150000,203,-77.777778,1000
150000,204,-62.264151,1000
175000,200,-93.690852,1000
175000,201,-92.565056,1000
175000,202,-92.753623,1000
175000,203,-94.444444,1000
175000,204,-92.45283,1000
200000,200,-77.917981,1000
200000,201,-73.977695,1000
200000,202,-78.26087,1000
200000,203,-83.333333,1000
200000,204,-73.584906,1000
225000,200,-93.690852,1000
225000,201,-92.565056,1000
225000,202,-92.753623,1000
225000,203,-94.444444,1000
225000,204,-92.45283,1000
250000,200,-62.14511,1000
250000,201,89.591078,1000
250000,202,-52.898551,1000
250000,203,30.555556,1000
250000,204,-54.716981,1000
275000,200,-93.690852,1000
275000,201,-92.565056,1000
275000,202,-92.753623,1000
275000,203,-94.444444,1000
275000,204,-92.45283,1000
300000,200,-75.908517,391
300000,201,46.62119,282
300000,202,-50.443478,375
300000,203,-13.611111,276
300000,204,-50.907547,378
325000,200,10.410095,1000
325000,201,56.133829,1000
325000,202,-42.028986,1000
325000,203,5.555556,1000
325000,204,5.660377,1000
350000,200,-84.653943,510
350000,201,30.111524,1000
350000,202,-13.043478,1000
350000,203,-16.666667,1000
350000,204,32.075472,1000
375000,200,130.283912,1000
375000,201,249.442379,1000
375000,202,128.26087,1000
375000,203,94.444444,1000
375000,204,247.169811,1000
400000,200,-5.362776,1000
400000,201,-77.695167,1000
400000,202,5.072464,1000
400000,203,-66.666667,1000
400000,204,13.207547,1000
425000,200,-102.544795,752
425000,201,167.657993,1000
425000,202,-49.275362,1000
425000,203,8.333333,1000
425000,204,122.641509,1000
450000,200,-76.253943,426
450000,201,-0.171004,341
450000,202,-70.736232,433
450000,203,-17.877778,402
450000,204,-68.728302,443
475000,200,-62.14511,1000
475000,201,-18.215613,1000
475000,202,-42.028986,1000
475000,203,-94.444444,1000
475000,204,-32.075472,1000
500000,200,-93.690852,1000
500000,201,201.115242,1000
500000,202,215.217391,1000
500000,203,-94.444444,1000
500000,204,337.735849,1000
525000,200,174.44795,1000
525000,201,89.591078,1000
525000,202,-16.666667,1000
525000,203,19.444444,1000
525000,204,269.811321,1000
550000,200,-90.536278,1000
550000,201,100.743494,1000
550000,202,-92.753623,1000
550000,203,58.333333,1000
550000,204,-16.981132,1000
575000,200,-30.599369,1000
575000,201,-33.085502,1000
575000,202,-42.028986,1000
575000,203,2.777778,1000
575000,204,-35.849057,1000
600000,200,-93.690852,1000
600000,201,130.483271,1000
600000,202,-92.753623,1000
600000,203,-94.444444,1000
600000,204,-92.45283,1000
625000,200,-14.826498,1000
625000,201,201.115242,1000
625000,202,189.855072,1000
625000,203,305.555556,1000
625000,204,364.150943,1000
650000,200,7.255521,1000
650000,201,-81.412639,1000
650000,202,-89.130435,1000
650000,203,-86.111111,1000
650000,204,-88.679245,1000
675000,200,-84.227129,1000
675000,201,431.598513,1000
675000,202,-92.753623,1000
675000,203,180.555556,1000
675000,204,-88.679245,1000
700000,200,470.977918,1000
700000,201,557.992565,1000
700000,202,421.73913,1000
700000,203,291.666667,1000
700000,204,-39.622642,1000
725000,200,127.139117,758
725000,201,338.66171,1000
725000,202,784.057971,1000
725000,203,-94.444444,1000
725000,204,276.150943,881
750000,200,341.640379,1000
750000,201,650.929368,1000
750000,202,86.908696,958
750000,203,472.222222,1000
750000,204,481.132075,1000
775000,200,-62.14511,1000
775000,201,-66.542751,1000
775000,202,-89.130435,1000
775000,203,-69.444444,1000
775000,204,-88.679245,1000
800000,200,-46.37224,1000
800000,201,286.6171,1000
800000,202,505.072464,1000
800000,203,27.777778,1000
800000,204,669.811321,1000
825000,200,325.867508,1000
825000,201,476.208178,1000
825000,202,378.26087,1000
825000,203,13.888889,1000
825000,204,454.716981,1000
850000,200,-58.990536,1000
850000,201,-29.36803,1000
850000,202,-42.028986,1000
850000,203,-72.222222,1000
850000,204,-50.943396,1000
875000,200,253.312303,1000
875000,201,569.144981,1000
875000,202,548.550725,1000
875000,203,366.666667,1000
875000,204,552.830189,1000
900000,200,-36.908517,1000
900000,201,476.208178,1000
900000,202,-31.15942,1000
900000,203,272.222222,1000
900000,204,-92.45283,1000
925000,200,-81.072555,1000
925000,201,-62.825279,1000
925000,202,-45.652174,1000
925000,203,-25.0,1000
925000,204,-43.396226,1000
950000,200,-87.381703,1000
950000,201,-85.130112,1000
950000,202,-67.391304,1000
950000,203,13.888889,1000
950000,204,-47.169811,1000
975000,200,-55.835962,1000
975000,201,52.416357,1000
975000,202,-92.753623,1000
975000,203,-50.0,1000
975000,204,-92.45283,1000
1000000,200,-93.690852,1000
1000000,201,-92.565056,1000
1000000,202,-45.652174,1000
1000000,203,258.333333,1000
1000000,204,-39.622642,1000
