train/n_updates,rollout/ep_len_mean,time/episodes,time/fps,time/time_elapsed,train/loss,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,train/learning_rate
87874,1000.0,352,30,11436,0.07550080120563507,352000,0.33120000000000005,-26.38168195,0.0001
88874,1000.0,356,30,11560,0.07205640524625778,356000,0.3236000000000001,-27.34814467,0.0001
89874,1000.0,360,30,11685,0.0023052142933011055,360000,0.31600000000000006,-26.24204857,0.0001
90874,1000.0,364,30,11811,0.18375015258789062,364000,0.3084,-25.8401932,0.0001
91874,1000.0,368,30,11936,0.0020030830055475235,368000,0.30080000000000007,-25.709240780000002,0.0001
92874,1000.0,372,30,12060,0.001462668413296342,372000,0.2932,-24.75846298,0.0001
93874,1000.0,376,30,12263,0.08626282215118408,376000,0.2856000000000001,-23.25195174,0.0001
94874,1000.0,380,30,12390,0.0007516663754358888,380000,0.278,-23.590629700000004,0.0001
95874,1000.0,384,30,12514,0.008584478870034218,384000,0.2704,-22.530701559999997,0.0001
96874,1000.0,388,30,12639,0.095204658806324,388000,0.26280000000000003,-20.330552859999997,0.0001
97874,1000.0,392,30,12763,0.003164504421874881,392000,0.2552,-16.812682290000005,0.0001
98874,1000.0,396,30,12888,0.18554364144802094,396000,0.24760000000000004,-15.75883992,0.0001
99874,1000.0,400,30,13093,0.07165698707103729,400000,0.24,-14.823083610000001,0.0001
100874,1000.0,404,30,13214,0.0037559368647634983,404000,0.23239999999999994,-13.117677559999999,0.0001
101874,1000.0,408,30,13339,0.09733226895332336,408000,0.22480000000000022,-12.81479086,0.0001
102874,1000.0,412,30,13463,0.3521956503391266,412000,0.21720000000000017,-12.036660699999997,0.0001
103874,1000.0,416,30,13588,0.0064401775598526,416000,0.20960000000000023,-11.81756514,0.0001
104874,1000.0,420,30,13714,0.007877184078097343,420000,0.20200000000000018,-10.74112992,0.0001
105874,1000.0,424,30,13839,0.006654524710029364,424000,0.19440000000000013,-10.61227741,0.0001
106874,1000.0,428,30,14038,0.010488973930478096,428000,0.1868000000000002,-10.6948981,0.0001
107874,1000.0,432,30,14164,0.06840501725673676,432000,0.17920000000000014,-10.925475919999998,0.0001
108874,1000.0,436,30,14289,0.041045647114515305,436000,0.1716000000000002,-12.19853709,0.0001
109874,1000.0,440,30,14414,0.004677852150052786,440000,0.16400000000000015,-12.970865219999999,0.0001
110874,1000.0,444,30,14539,0.0732664242386818,444000,0.1564000000000001,-13.9075368,0.0001
111874,1000.0,448,30,14664,0.004420822486281395,448000,0.14880000000000015,-12.864589499999997,0.0001
112874,1000.0,452,30,14820,0.16865989565849304,452000,0.1412000000000001,-11.625805759999999,0.0001
113874,1000.0,456,30,14946,0.010576711036264896,456000,0.13360000000000016,-5.913797139999999,0.0001
114874,1000.0,460,30,15072,0.11268927901983261,460000,0.1260000000000001,-3.9163296500000007,0.0001
115874,1000.0,464,30,15197,0.09905675053596497,464000,0.11840000000000006,-0.9277007000000004,0.0001
116874,1000.0,468,30,15323,0.06753861904144287,468000,0.11080000000000012,0.8144925900000004,0.0001
117734,994.37,472,30,15431,0.010843411087989807,471437,0.10426970000000002,0.7469791099999997,0.0001
118734,994.37,476,30,15635,0.10663394629955292,475437,0.09666970000000008,-0.48226895999999997,0.0001
119734,994.37,480,30,15758,0.07206440716981888,479437,0.08906970000000003,-1.79763908,0.0001
120734,994.37,484,30,15884,0.0010699101258069277,483437,0.08146969999999998,-4.40802574,0.0001
121693,992.75,488,30,16004,0.03826262429356575,487275,0.07417750000000001,-8.36685637,0.0001
122693,992.75,492,30,16129,0.08742228895425797,491275,0.06657749999999996,-13.5463506,0.0001
123645,990.82,496,30,16248,0.1405574381351471,495082,0.05934419999999996,-11.72546868,0.0001
124630,990.21,500,30,16374,0.05501434952020645,499021,0.05186010000000019,-8.71150513,0.0001
125630,990.21,504,30,16583,0.02165169082581997,503021,0.05,-4.61205959,0.0001
126630,990.21,508,30,16708,0.1341342031955719,507021,0.05,-3.7403861099999993,0.0001
127630,990.21,512,30,16833,0.1935122311115265,511021,0.05,-2.2065118099999994,0.0001
128630,990.21,516,30,16959,0.021206513047218323,515021,0.05,-0.914985789999998,0.0001
129630,990.21,520,30,17086,0.11805206537246704,519021,0.05,4.532690200000002,0.0001
130630,990.21,524,30,17212,0.08150504529476166,523021,0.05,5.930450880000002,0.0001
131630,990.21,528,30,17418,0.021848179399967194,527021,0.05,8.370054090000004,0.0001
132630,990.21,532,30,17545,0.15988978743553162,531021,0.05,9.246599739999999,0.0001
133630,990.21,536,30,17671,0.0688624158501625,535021,0.05,12.538537250000001,0.0001
134630,990.21,540,30,17795,0.14892713725566864,539021,0.05,16.83496668,0.0001
135630,990.21,544,30,17922,0.029343241825699806,543021,0.05,20.47334196,0.0001
136630,990.21,548,30,18050,0.062491174787282944,547021,0.05,21.447434090000005,0.0001
137630,990.21,552,30,18268,0.09394846856594086,551021,0.05,23.409618200000004,0.0001
138630,990.21,556,30,18397,0.017754433676600456,555021,0.05,21.31248061,0.0001
139630,990.21,560,30,18523,0.0797281488776207,559021,0.05,24.347512120000005,0.0001
140630,990.21,564,30,18649,0.05208953097462654,563021,0.05,25.20714311,0.0001
141630,990.21,568,30,18774,0.10314767807722092,567021,0.05,26.188275230000002,0.0001
142630,995.84,572,30,18901,0.14118163287639618,571021,0.05,25.39967663,0.0001
143630,995.84,576,30,19106,0.11820925027132034,575021,0.05,26.35986959,0.0001
144630,995.84,580,30,19231,0.07058708369731903,579021,0.05,30.57945332,0.0001
145630,995.84,584,30,19359,0.08813647925853729,583021,0.05,38.69101111,0.0001
146630,997.46,588,30,19487,0.011101274751126766,587021,0.05,41.559259710000006,0.0001
147630,997.46,592,30,19613,0.09154538810253143,591021,0.05,46.86551517000001,0.0001
148630,999.39,596,30,19740,0.15951083600521088,595021,0.05,51.41064348,0.0001
149630,1000.0,600,30,19866,0.0352090448141098,599021,0.05,50.02269975,0.0001
150630,1000.0,604,30,20071,0.05784321576356888,603021,0.05,46.688912659999986,0.0001
151630,1000.0,608,30,20198,0.03711344301700592,607021,0.05,48.21825254,0.0001
152630,1000.0,612,30,20326,0.26550689339637756,611021,0.05,53.35300668000001,0.0001
153630,1000.0,616,30,20452,0.035254575312137604,615021,0.05,56.62986313999999,0.0001
154630,1000.0,620,30,20577,0.024517040699720383,619021,0.05,50.93220321,0.0001
155630,1000.0,624,30,20704,0.05241945758461952,623021,0.05,58.003167430000005,0.0001
156630,1000.0,628,29,20908,0.1750471144914627,627021,0.05,64.30415804999998,0.0001
157630,1000.0,632,29,21034,0.305501252412796,631021,0.05,75.14553669,0.0001
158630,1000.0,636,30,21162,0.1491241157054901,635021,0.05,84.27084839,0.0001
159582,998.1,640,30,21283,0.23387734591960907,638831,0.05,88.60757599,0.0001
160582,998.1,644,30,21408,0.24683956801891327,642831,0.05,92.00342616999998,0.0001
161582,998.1,648,30,21534,0.052821289747953415,646831,0.05,88.16874570000002,0.0001
162582,998.1,652,29,21737,0.04175781458616257,650831,0.05,91.57944690000001,0.0001
163582,998.1,656,29,21863,0.12074138969182968,654831,0.05,97.14364748999998,0.0001
164582,998.1,660,29,21989,0.2012038230895996,658831,0.05,99.59971144,0.0001
165582,998.1,664,29,22115,0.18737545609474182,662831,0.05,112.15833003,0.0001
166582,998.1,668,29,22241,0.17857462167739868,666831,0.05,117.60926261,0.0001
167528,995.92,672,29,22362,0.2094976007938385,670613,0.05,126.18096274,0.0001
168528,995.92,676,29,22490,0.08343719691038132,674613,0.05,131.88085933000002,0.0001
169528,995.92,680,29,22694,0.068736732006073,678613,0.05,136.47753172,0.0001
170528,995.92,684,29,22820,0.15282195806503296,682613,0.05,137.68683700999998,0.0001
171528,995.92,688,29,22949,0.11362800747156143,686613,0.05,143.91620862,0.0001
172528,995.92,692,29,23075,0.13973639905452728,690613,0.05,148.96030572,0.0001
173528,995.92,696,29,23202,0.22252994775772095,694613,0.05,148.87105139,0.0001
174528,995.92,700,29,23329,0.2363387495279312,698613,0.05,155.74965925000004,0.0001
175528,995.92,704,29,23534,0.04601786658167839,702613,0.05,160.84837571000003,0.0001
176528,995.92,708,29,23661,0.30797278881073,706613,0.05,162.81484297999998,0.0001
177528,995.92,712,29,23787,0.18458279967308044,710613,0.05,159.61751861000002,0.0001
178528,995.92,716,29,23914,0.041283585131168365,714613,0.05,165.35497870999998,0.0001
179528,995.92,720,29,24039,0.1303534209728241,718613,0.05,176.07482317000003,0.0001
180528,995.92,724,29,24166,0.07623331248760223,722613,0.05,184.67101005999996,0.0001
181528,995.92,728,29,24363,0.4125760793685913,726613,0.05,191.22669771999998,0.0001
182528,995.92,732,29,24490,0.2363061159849167,730613,0.05,190.35812462999993,0.0001
183528,995.92,736,29,24617,0.2677711546421051,734613,0.05,194.95434707,0.0001
184528,997.82,740,29,24744,0.2347346693277359,738613,0.05,205.25162210999994,0.0001
185528,997.82,744,29,24872,0.1626446694135666,742613,0.05,216.17929094999997,0.0001
