timesteps,eval_seed,episode_reward,episode_length
10000,100,-92.592593,1000
10000,101,-93.39934,1000
10000,102,-92.831541,1000
10000,103,-92.805755,1000
10000,104,-93.288591,1000
20000,100,8.233333,252
20000,101,-66.793069,362
20000,102,47.92724,278
20000,103,-60.560432,362
20000,104,-4.194631,251
30000,100,8.533333,249
30000,101,-66.193069,356
30000,102,48.32724,274
30000,103,-59.960432,356
30000,104,-3.894631,248
40000,100,-51.851852,1000
40000,101,-53.79538,1000
40000,102,-53.405018,1000
40000,103,-49.640288,1000
40000,104,-46.308725,1000
50000,100,7.333333,261
50000,101,-58.993069,284
50000,102,48.02724,277
50000,103,-24.460432,1000
50000,104,-5.494631,264
60000,100,-131.962963,691
60000,101,-66.9967,1000
60000,102,-163.257706,992
60000,103,-64.028777,1000
60000,104,-66.442953,1000
70000,100,-62.962963,1000
70000,101,-66.9967,1000
70000,102,-60.573477,1000
70000,103,-56.834532,1000
70000,104,-63.087248,1000
80000,100,-11.111111,1000
80000,101,-50.49505,1000
80000,102,-35.483871,1000
80000,103,-46.043165,1000
80000,104,-61.385906,286
90000,100,33.333333,1000
90000,101,-27.392739,1000
90000,102,75.62724,1000
90000,103,88.195683,673
90000,104,-15.694631,366
100000,100,3.703704,1000
100000,101,-40.594059,1000
100000,102,36.200717,1000
100000,103,-42.446043,1000
100000,104,-2.684564,1000
