time/fps,time/iterations,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/entropy_loss,train/explained_variance,train/approx_kl,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/n_updates,train/clip_fraction,train/loss,train/value_loss
11,37,1000.0,477184,166.66884313999998,6634,-0.8685383157804608,0.990498710423708,0.048027992,-0.016193913664028513,0.2,0.0003,2320,0.244580078125,0.33886998891830444,1.9809092448092998
11,38,1000.0,479232,181.51886186,6733,-0.8074555633589625,0.9831746872514486,0.07566485,-0.012065581513161306,0.2,0.0003,2330,0.25224609375,0.5501202344894409,2.980421176832169
11,39,1000.0,481280,189.75678557999998,6839,-0.5067530453205109,0.9399538598954678,0.036141813,-0.0056622144009452315,0.2,0.0003,2340,0.219189453125,0.7663351893424988,5.309189631417394
11,40,1000.0,483328,202.96324156,6950,-0.8715210517868399,0.9908714406192303,0.052510403,-0.009436033081146888,0.2,0.0003,2350,0.24873046875,0.4015990197658539,1.8715915715321898
11,41,1000.0,485376,207.34642002999993,7099,-0.8734032588079572,0.9867817750200629,0.054722287,-0.007063306459167506,0.2,0.0003,2360,0.211962890625,0.64385986328125,2.1422688981518148
11,42,1000.0,487424,220.43685356000003,7230,-0.8468098094686866,0.9910700628533959,0.049126677,-0.010507424816023559,0.2,0.0003,2370,0.2443359375,0.21589651703834534,1.7651370491832494
12,43,1000.0,489472,227.24819746,7328,-0.45073821833357214,0.970720462501049,0.03834998,-0.0092137871630257,0.2,0.0003,2380,0.195263671875,0.5178625583648682,3.3097370442003013
12,44,1000.0,491520,229.77332602,7428,-0.8986660582944751,0.9839651603251696,0.055324443,-0.0070009999442845585,0.2,0.0003,2390,0.209716796875,0.23791223764419556,2.6756058036349715
12,45,1000.0,493568,240.85431916000002,7527,-1.1275006590411067,0.9942586827091873,0.06209641,-0.014007189667609055,0.2,0.0003,2400,0.2578125,0.230682373046875,0.7674580349121243
12,46,1000.0,495616,245.86938736,7629,-0.7924552734941244,0.9808105863630772,0.05074316,-0.007797129609389231,0.2,0.0003,2410,0.241650390625,0.7026331424713135,4.109117638692259
12,47,1000.0,497664,253.38855513000001,7728,-0.691325375624001,0.9791242480278015,0.03892241,-0.005313375126570463,0.2,0.0003,2420,0.198974609375,0.4977947473526001,3.52111509218812
12,48,1000.0,499712,256.28177631,7815,-0.5849643597379327,0.9735331628471613,0.046595268,-0.010408762152655982,0.2,0.0003,2430,0.21552734375,0.2726038992404938,4.53725489154458
12,49,1000.0,501760,260.58940721000005,8034,-0.9109724368900061,0.9854329843074083,0.04959584,-0.012919474804948549,0.2,0.0003,2440,0.2880859375,0.29387521743774414,1.2711276792921127
12,50,1000.0,503808,266.30668033,8123,-0.8420303301885724,0.9912410750985146,0.05591295,-0.009088058001361787,0.2,0.0003,2450,0.2154296875,0.21220973134040833,1.3515974849462509
12,51,1000.0,505856,269.47018851999997,8212,-0.45430754031986,0.9850680911913514,0.045408983,-0.009523633973003598,0.2,0.0003,2460,0.193994140625,0.31559082865715027,2.0106749411672356
12,52,1000.0,507904,282.03067468999996,8321,-0.9080273270606994,0.9903761660680175,0.036430378,0.0017485780030256138,0.2,0.0003,2470,0.25458984375,0.30048608779907227,1.7993765769526362
12,53,1000.0,509952,287.86602211999997,8433,-0.6962314177304506,0.9609024971723557,0.03789076,-0.004709337047825102,0.2,0.0003,2480,0.27099609375,0.4866325855255127,4.684400513581932
12,54,1000.0,512000,296.77032965,8541,-0.7552001950331032,0.9774506725370884,0.052485656,-0.014807766440935666,0.2,0.0003,2490,0.27138671875,0.1664799004793167,2.4436893502715975
13,55,1000.0,514048,308.03887208,8643,-0.6354582395404578,0.987004354596138,0.05123388,-0.0030958903051214294,0.2,0.0003,2500,0.26552734375,0.511724591255188,2.4331249240785837
13,56,1000.0,516096,308.11858734,8743,-0.9024390121921897,0.9706328231841326,0.06985408,-0.011643333777101361,0.2,0.0003,2510,0.3216796875,0.2015533149242401,3.5603950759395957
