timesteps,eval_seed,episode_reward,episode_length
10000,100,-25.925926,1000
10000,101,-67.593069,370
10000,102,-24.731183,1000
10000,103,-61.360432,370
10000,104,-32.885906,1000
20000,100,33.333333,1000
20000,101,58.415842,1000
20000,102,75.62724,1000
20000,103,126.618705,1000
20000,104,20.805369,1000
30000,100,22.222222,1000
30000,101,101.320132,1000
30000,102,97.132616,1000
30000,103,-65.477698,627
30000,104,40.939597,1000
40000,100,59.259259,1000
40000,101,-30.693069,1000
40000,102,79.21147,1000
40000,103,-24.460432,1000
40000,104,27.516779,1000
50000,100,-24.366667,578
50000,101,-88.793069,582
50000,102,48.02724,277
50000,103,123.021583,1000
50000,104,-4.894631,258
60000,100,18.518519,1000
60000,101,-33.993399,1000
60000,102,3.942652,1000
60000,103,-24.460432,1000
60000,104,-2.684564,1000
70000,100,33.333333,1000
70000,101,-33.993399,1000
70000,102,75.62724,1000
70000,103,-28.057554,1000
70000,104,17.449664,1000
80000,100,33.333333,1000
80000,101,-33.993399,1000
80000,102,72.043011,1000
80000,103,-28.057554,1000
80000,104,20.805369,1000
90000,100,103.703704,1000
90000,101,114.521452,1000
90000,102,86.379928,1000
90000,103,-13.669065,1000
90000,104,20.805369,1000
100000,100,33.333333,1000
100000,101,-20.792079,1000
100000,102,72.043011,1000
100000,103,-56.834532,1000
100000,104,20.805369,1000
