rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/learning_rate,train/entropy_loss,train/n_updates,train/value_loss,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/loss,train/explained_variance
1000.0,-19.55230432352941,17,948,34816,36,0.0003,-1.5023084439337253,160,0.3077723602415062,0.2,0.207763671875,-0.021172084922000067,0.01752798,0.019286267459392548,0.9880178133025765
1000.0,-18.992629305555553,18,998,36864,36,0.0003,-1.3774148818105458,170,0.4818168137455359,0.2,0.1787109375,-0.003244030960195232,0.017199755,0.23972123861312866,0.9281451478600502
1000.0,-17.080101999999997,19,1049,38912,37,0.0003,-1.4457395449280739,180,0.45534261357970535,0.2,0.20322265625,-0.014778658247087151,0.018630939,0.1318492889404297,0.9697542637586594
1000.0,-15.737669950000003,20,1098,40960,37,0.0003,-1.3299181710928678,190,0.5601017221109942,0.2,0.22275390625,-0.008579249770264141,0.019879486,0.1419721245765686,0.9632231183350086
1000.0,-14.810702139534884,21,1147,43008,37,0.0003,-1.2910794872790574,200,0.20512667635339313,0.2,0.232958984375,-0.019506565686606338,0.021360587,0.09798163175582886,0.9941092990338802
1000.0,-15.31465771111111,22,1196,45056,37,0.0003,-1.3351002182811498,210,0.3939551784424111,0.2,0.175634765625,-0.018138499630731532,0.013476758,0.0623139962553978,0.9862903133034706
1000.0,-13.132548340425533,23,1244,47104,37,0.0003,-1.2447964806109666,220,0.2024020901415497,0.2,0.1697265625,-0.02116235713183414,0.011269379,0.03840043768286705,0.995395349804312
1000.0,-11.64641324489796,24,1294,49152,37,0.0003,-1.2241179026663302,230,0.6156224401900545,0.2,0.1107421875,-0.005086254928028211,0.01328272,0.31617462635040283,0.9794403370469809
1000.0,-12.34311525490196,25,1426,51200,35,0.0003,-1.2476206976920365,240,0.45817220222670585,0.2,0.14580078125,-0.008659691594948527,0.012803144,0.12843072414398193,0.9824991263449192
1000.0,-12.197714094339622,26,1481,53248,35,0.0003,-1.2548140741884708,250,0.3222686342312954,0.2,0.1318359375,-0.01675759830250172,0.011289731,0.0412808395922184,0.9845831152051687
1000.0,-12.275683727272726,27,1535,55296,36,0.0003,-1.2888451188802719,260,0.3100096855778247,0.2,0.16181640625,-0.020117257337915362,0.020123519,0.06591306626796722,0.9895139113068581
1000.0,-10.629751631578948,28,1589,57344,36,0.0003,-1.2386556521058083,270,0.5323269461980089,0.2,0.09951171875,-0.006900927715469152,0.014607692,0.19095954298973083,0.9869321892037988
1000.0,-10.734859271186442,29,1642,59392,36,0.0003,-1.2292372677475214,280,0.6430743569741025,0.2,0.2482421875,-0.018492338537180332,0.028059423,0.06494329869747162,0.9592994600534439
1000.0,-11.97633760655738,30,1695,61440,36,0.0003,-1.0054028818383813,290,0.328976480953861,0.2,0.2576171875,-0.033016778966702985,0.06480667,0.03278350085020065,0.983123779296875
1000.0,-12.577784825396828,31,1749,63488,36,0.0003,-1.0133598597720266,300,0.7786099270917475,0.2,0.2201171875,-0.0009012497539515607,0.022388117,0.051281385123729706,0.9517932720482349
1000.0,-14.281124969230769,32,1805,65536,36,0.0003,-1.1344703242182732,310,1.086014304170385,0.2,0.1875,-0.013366512075299397,0.017079812,0.10736100375652313,0.8374015092849731
1000.0,-15.84019158208955,33,1859,67584,36,0.0003,-1.2194234602153302,320,0.5648434298345819,0.2,0.252783203125,-0.0033156128469272518,0.017561844,0.10308252274990082,0.909724548459053
1000.0,-17.27820389855072,34,1909,69632,36,0.0003,-1.2503125697374344,330,0.39181072601350025,0.2,0.1751953125,-0.00558869880187558,0.009469481,0.015016939491033554,0.9464669227600098
1000.0,-18.371089028169013,35,1959,71680,36,0.0003,-1.2500776745378972,340,0.44066561522195113,0.2,0.14599609375,-0.010499456142133568,0.009248318,0.033718544989824295,0.9015906378626823
1000.0,-19.47150626027397,36,2008,73728,36,0.0003,-1.2205305606126786,350,0.31716096732998267,0.2,0.128857421875,-0.00819266428152332,0.012400976,0.08758866786956787,0.9522525370121002
1000.0,-20.00149253333333,37,2131,75776,35,0.0003,-1.2796792086213826,360,0.2772941905655898,0.2,0.13974609375,-0.009433385775628267,0.014169825,0.030615627765655518,0.9289127737283707
1000.0,-16.899969116883113,38,2182,77824,35,0.0003,-1.2274579722434282,370,0.3251998933381401,0.2,0.182666015625,-0.01581837431076565,0.018882368,0.06253013759851456,0.897393487393856
1000.0,-6.718673949367086,39,2235,79872,35,0.0003,-1.0165149811655283,380,2.7395446807146073,0.2,0.28662109375,-0.02248672648856882,0.042525753,0.5393191576004028,0.8431181162595749
1000.0,2.063185975308642,40,2286,81920,35,0.0003,-0.9582123957574368,390,5.154655224084854,0.2,0.229833984375,-0.011454315736773423,0.024515606,0.5860378742218018,0.8274419903755188
1000.0,9.020174903614457,41,2335,83968,35,0.0003,-1.0712591502815485,400,2.146342250611633,0.2,0.250634765625,-0.013767017758800648,0.024965156,0.4347313940525055,0.9414508678019047
1000.0,20.67356369767442,42,2385,86016,36,0.0003,-1.1421250814571977,410,2.502434757724404,0.2,0.2673828125,-0.007352560233266558,0.024011329,0.2797108292579651,0.952997013926506
1000.0,27.49953380681819,43,2434,88064,36,0.0003,-0.9608616895973683,420,3.6367531755939124,0.2,0.202783203125,-0.015586198924575,0.016000833,0.5656507015228271,0.9505072049796581
1000.0,42.61151326666667,44,2484,90112,36,0.0003,-0.9893485981971025,430,3.3422534032724798,0.2,0.22880859375,-0.01042137658514548,0.0286603,0.36924830079078674,0.9566931240260601
1000.0,57.20160057608696,45,2534,92160,36,0.0003,-0.7198248272761703,440,8.68255149498582,0.2,0.24873046875,0.0056725037058640735,0.03182157,3.5051209926605225,0.8639733046293259
1000.0,69.92559897872341,46,2584,94208,36,0.0003,-0.6869889926165342,450,6.668067622184753,0.2,0.193359375,-0.009815154413809068,0.018001026,1.0308303833007812,0.8183946162462234
999.8645833333334,83.99959870833332,47,2634,96256,36,0.0003,-0.8077264236286282,460,5.454444462805986,0.2,0.24140625,-0.010123530591954477,0.024396125,0.5919973850250244,0.9544432200491428
999.8673469387755,97.84946168367347,48,2684,98304,36,0.0003,-0.7215045921504497,470,6.0753107067197565,0.2,0.278466796875,-0.0066950618042028506,0.04449155,1.4879133701324463,0.8493760824203491
999.87,105.11481147,49,2804,100352,35,0.0003,-0.6875898210331798,480,6.119949197396636,0.2,0.226611328125,-0.011977468055556528,0.025540235,1.177011489868164,0.9279168248176575
991.94,117.28015864999999,50,2853,102400,35,0.0003,-0.8605641428381204,490,11.184287061169744,0.2,0.25009765625,-0.0006512625215691515,0.039682206,1.6432119607925415,0.9656297974288464
991.94,125.85892494,51,2902,104448,35,0.0003,-0.6743148237466812,500,14.680707806348801,0.2,0.253466796875,-0.01916371526167495,0.19385573,3.408801555633545,0.7199526131153107
991.94,134.7589568,52,2951,106496,36,0.0003,-0.9157078515738248,510,3.178865803871304,0.2,0.27451171875,-0.0012352696212474257,0.03418997,1.17135488986969,0.9832897521555424
991.94,138.74671350000003,53,3000,108544,36,0.0003,-0.8057398568838835,520,5.121988132037222,0.2,0.19423828125,-0.012955847648117923,0.07368202,0.8359805941581726,0.9764851275831461
